NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,1.36
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,1.01
0,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,1.32
0,0,1,1,1,1,0,0,0,1,0,1,0,8,320,0,1.42
1,1,1,0,0,1,0,0,0,1,1,1,0,8,8,0,1.54
1,0,1,1,0,1,0,1,0,1,0,1,0,8,8,0,1.6
0,1,1,0,0,1,0,0,1,0,0,1,0,8,160,0,1.5
1,0,1,0,0,1,0,0,0,1,1,1,1,8,8,0,1.5
1,1,1,0,0,0,0,1,0,1,0,1,0,8,8,0,1.25
0,1,0,0,0,0,0,0,0,0,1,0,0,8,160,0,1.27
1,1,1,0,0,0,0,0,0,1,1,1,0,44,8,2,3.85
0,0,1,1,0,0,0,1,0,0,0,1,0,44,8,2,3.87
1,0,1,1,0,1,0,0,1,1,0,1,0,48,320,0,3.77
1,0,1,0,0,1,0,0,1,1,0,1,1,22,160,0,2.49
1,0,1,0,1,1,0,0,0,1,0,1,1,22,160,0,2.94
0,1,1,0,0,0,0,1,0,0,0,0,0,44,8,1,3.58
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,1,1.49
0,0,0,0,0,0,0,0,0,0,1,1,1,22,8,2,2.27
0,0,0,0,0,1,1,0,1,1,0,0,0,22,320,0,9.621734392328698
1,1,1,1,0,1,0,1,1,1,1,0,1,48,8,1,9.627101296683977
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,1.01
0,0,1,1,1,1,0,0,0,1,0,1,0,8,8,0,1.32
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,1.36
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,1,1.49
1,0,1,0,0,1,0,0,1,1,0,1,1,22,160,0,2.49
1,0,1,0,1,1,0,0,0,1,0,1,1,22,160,0,2.94
0,1,1,0,0,0,0,1,0,0,0,0,0,44,8,1,3.58
1,0,1,1,0,1,0,0,1,1,0,1,0,48,320,0,3.77
0,0,1,1,0,0,0,1,0,0,0,1,0,44,8,2,3.87
1,1,1,0,0,0,0,0,0,1,1,1,0,44,8,2,3.85
1,1,1,1,0,1,0,0,0,1,0,0,0,8,8,0,9.62676100906024
0,0,0,0,0,1,0,0,1,1,0,1,0,8,160,2,9.62592845480267
1,0,0,1,0,1,0,0,1,1,0,1,0,8,160,2,9.628502535377448
1,1,1,0,0,0,1,0,0,1,1,0,1,48,8,0,9.621306069359754
0,0,0,1,0,1,0,0,1,1,0,0,0,8,160,0,9.621840584642609
1,1,1,0,0,0,1,0,0,0,1,1,1,22,8,2,9.621273616654582
1,1,1,0,0,1,0,0,0,1,0,1,0,8,320,0,9.623407105003423
0,0,1,1,1,1,0,0,0,1,1,1,0,8,8,0,9.624195666600372
0,1,0,0,0,0,0,0,1,1,0,1,1,22,8,0,9.622879280948244
1,0,1,1,0,1,0,0,0,0,0,0,0,8,8,0,9.623725841516183
1,1,1,0,0,1,0,0,1,1,0,0,1,8,320,0,9.625338231727742
0,0,1,0,0,1,0,1,1,1,1,1,0,8,160,0,9.62747247002033
1,1,1,0,0,1,0,0,0,1,0,1,0,8,8,0,9.62191741150307
1,0,0,1,1,1,0,0,1,1,0,1,0,8,160,0,9.628920799166394
1,1,1,0,0,1,0,0,1,0,1,0,0,8,160,0,9.626237248663243
0,1,0,0,0,1,0,0,0,1,1,1,0,8,8,0,9.622498830981781
1,1,0,0,0,0,0,1,1,1,0,1,1,8,320,0,9.62255875020707
0,0,1,1,1,0,0,1,0,1,0,0,0,8,320,0,9.627407709143245
1,1,1,0,0,0,0,1,0,1,0,1,0,8,320,0,9.627771647658633
0,0,0,0,0,0,1,0,0,0,0,0,0,8,320,0,9.623209640965175
1,1,1,0,0,1,0,0,1,1,0,1,1,8,320,0,9.627072895832338
1,1,1,0,0,1,0,1,1,1,1,1,0,8,160,0,9.626791644628106
0,0,1,1,0,1,0,0,0,1,0,1,0,8,8,0,9.628792577516348
1,1,1,0,0,1,0,0,1,1,0,1,1,8,8,0,9.62720038053406
1,0,1,0,0,1,0,0,1,1,0,1,1,22,8,1,9.623117790675304
0,0,0,0,1,0,1,0,0,1,0,0,0,8,320,0,9.62366080967182
0,0,1,0,1,1,0,0,0,1,0,1,0,8,8,0,9.622520431212473
1,1,1,0,0,1,0,0,0,1,1,0,0,8,160,0,9.621599423128357
0,0,1,1,1,1,0,0,0,1,1,1,0,8,160,0,9.623566183742337
1,1,1,0,0,1,0,0,1,1,0,1,0,8,8,0,1.51
0,1,0,0,0,0,0,0,0,1,0,1,1,8,160,0,9.621383870406616
1,0,1,0,0,1,0,0,1,0,1,1,0,8,160,0,9.625132213562933
0,0,1,1,1,1,0,1,0,0,1,1,1,8,320,2,9.62261234914112
0,0,1,0,0,0,0,0,0,1,0,1,0,8,320,0,9.626042589639026
1,1,1,1,1,1,0,0,0,1,1,1,0,8,8,0,9.628645520888487
0,0,0,0,0,1,0,0,0,1,1,1,1,8,8,0,9.621586540502097
0,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,2.05
1,0,1,1,1,1,0,0,0,1,0,1,0,8,320,0,1.52
1,0,1,1,1,1,0,0,0,0,0,1,0,8,320,0,1.54
1,0,1,0,0,1,1,0,0,0,1,1,1,8,8,1,9.625500232454693
