iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,90,1.46
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.46
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,90,1.49
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,90,1.44
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,1.49
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.43
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.47
0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,90,1.48
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,90,1.5
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.46
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.44
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90,1.51
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.47
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.45
0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,1.53
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,10,1.49
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.49
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.46
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.48
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,90,1.49
1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,10,1.884602554960939
0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,10,1.884865666854446
1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,10,1.881847135846792
1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,90,1.8886156787604382
1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,90,1.886875730358068
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,10,1.8889955827806788
0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,10,1.886417250715274
1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,90,1.8853427223447485
0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,90,1.8852780196222
1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,10,1.8837455251277195
0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,1.8860021515278442
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,90,1.8869823056977775
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,90,1.8854856839426803
0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,10,1.8864030860203793
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,90,1.8822931805653458
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,90,1.48
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,90,1.45
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,90,1.8810302308031808
0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,90,1.8817898769970811
0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,90,1.887970079909662
1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,90,1.8835620892714662
0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,90,1.8823289024389234
0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,90,1.8818242862869818
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,90,1.8869349232424388
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,1.45
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,90,1.887383508656227
1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,90,1.88142001358948
0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,10,1.8886346336605975
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,90,1.8877233090391738
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,90,1.47
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,1.49
0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,1.882437871448846
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.46
0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,90,1.8865088879949983
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,90,1.88863766782907
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,90,1.8827484617693713
0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,90,1.8821104441931742
0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,90,1.8874654746192798
1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,90,1.8874030664632282
0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,90,1.8883077772126993
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,90,1.8845780540505934
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,90,1.8842347922871283
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,90,1.8862535850213176
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,90,1.883678597546286
0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,90,1.8872114764475139
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.883964816990106
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,10,1.884260427340761
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,90,1.5
0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,90,1.8867892139968088
0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.8874327100078796
0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,10,1.883282233500106
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,90,1.885302446296967
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,10,1.47
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,90,1.8856045733764066
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,90,1.8814326956577916
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,90,1.48
0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,90,1.8817493054097112
0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,90,1.881585602704436
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,90,1.8828039270916286
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,1.45
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.47
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,90,1.8889572046305587
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,1.8850765711254012
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,90,1.8811902921125268
0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,90,1.8845931771072475
0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,90,1.885768994921254
0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,1.8876317825331521
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.8857622431110066
1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,90,1.8855362279455272
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,90,1.8827549072429481
