OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,47305.6664987316
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,48009.9999479892
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47021.6832823932
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,47843.1831052808
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46800.3332163325
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,47366.2831793929
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,47785.549962568
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,47118.1999450288
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47592.4163121032
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48650.7498881033
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29671.2165801256
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,47055.3333270593
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,47393.6832638226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47482.5332106701
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,46985.5498997642
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,46772.7166448394
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30843.3666188594
1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,24557.1166392446
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,28401.6833082452
1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,25755.2832762425
0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,30077.3332857109
1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,30007.6166151536
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29671.2165801256
1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,29379.5666049696
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,28745.8934315633
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,28401.6833082452
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,47055.3333270593
1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,25755.2832762425
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30843.3666188594
1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,24557.1166392446
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,23312.972185492174
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,23312.972583489558
1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,23312.96987106694
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,23312.97424793679
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,23312.96883234237
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,23312.968721775207
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,23312.975015800144
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,45672.1665387846
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,23312.968879815387
0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,23312.974314484683
0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,23312.973582144874
1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,23312.971417650642
1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,23312.971712990842
1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,23312.96780457594
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,45783.1665773895
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,47263.8309504485
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28836.3833016133
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23312.969494456756
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,46400.8166566132
1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,23312.97413013284
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,46905.066577547
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,23312.971960146093
1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,23312.967923741064
0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,23312.96897254088
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,48048.2326005978
0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,23312.973760879857
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,23312.971318177737
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30230.6499531425
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44439.7999177864
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,46750.9833333333
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,47374.6833325438
1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,23312.971579295703
0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,46608.3996201416
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,23312.97328787597
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,45928.8636783903
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,23312.968974925414
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,47075.8165560385
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28969.533248356
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,23312.96968098917
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,47405.7165710651
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,25659.7332743159
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,46197.149919155
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,23312.97174228044
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,23312.97039148369
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,23312.97406633861
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,23312.975519596603
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23312.97167773603
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,23312.96923740614
1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,23312.97236243596
0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,23312.967829121808
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,23312.97489410326
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,23312.97295879737
