iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,2.53335,1
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,2.290471,1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,90,2.83557,1
0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10,1.200033,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,1.200033,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,90,1.640767,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,1.83335,1
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,10,1.200033,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,1.200033,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,1.200033,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,90,2.277775,1
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,90,2.277775,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,2.3741,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,90,1.666683,1
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,2.2926,1
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90,1.444467,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,90,1.633333,1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,2.211133,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,90,2.211133,1
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.6444,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1.6444,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,2.133333,1
0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,2.122267,1
