iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,90,1.7667,1
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,2.616667,1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,90,2.30002,1
0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,90,1.2556,1
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,2.564833,1
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,10,1.2556,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,90,1.2556,1
0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,90,2.624067,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,2.624067,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,2.624067,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,90,2.624067,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,2.10555,1
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,2.4222,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,90,2.4222,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.9333,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,2.1611,1
