iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.47
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,1.48
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,1.55
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,10,1.56
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,90,1.45
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.45
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,1.46
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,1.45
1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,10,1.46
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.46
0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.52
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,1.47
0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,90,1.46
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.47
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.48
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.52
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,90,1.43
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,90,1.46
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1.46
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,10,1.49
1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.47
0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,90,1.47
0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,90,1.5
1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,1.48
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.46
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,1.45
0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,10,1.47
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,10,1.49
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,10,1.56
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1.46
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1.8860930807703302
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,10,1.88173555532848
0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,90,1.8849396667246252
1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,90,1.8864591271257316
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,90,1.8830407665099491
1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,90,1.8866672496487273
0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,90,1.8834333895700497
1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,90,1.8840642151708094
0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,10,1.8836050618620124
0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,10,1.8885626225537735
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,90,1.8836890854711292
0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,10,1.8816107716118595
0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,90,1.887248713048164
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,1.44
1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,10,1.884768496188376
1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,90,1.882695078391403
0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,90,1.888414563136163
1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,90,1.887853518489361
0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,90,1.8821222321489304
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,1.57
0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,90,1.8821311115854111
1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,1.8814199327273233
0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,10,1.5
1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,1.8826330024477016
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,90,1.8855912568751954
