NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,0.69
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,1,0.9
0,0,1,0,0,1,0,0,0,1,1,1,1,8,160,0,0.92
0,1,0,0,0,0,0,0,1,0,0,0,0,8,320,0,1.0
0,1,1,0,0,1,0,0,1,1,0,0,0,8,160,0,1.04
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,0,1.09
0,0,1,0,1,0,0,0,0,0,0,1,1,8,8,1,1.12
1,1,1,0,1,1,0,0,0,1,0,1,0,22,8,0,1.15
0,0,0,0,1,0,0,0,0,0,0,1,1,8,8,1,1.15
1,1,1,0,1,1,0,0,0,1,0,1,0,22,320,0,1.29
1,0,1,0,0,0,0,0,1,0,0,1,1,22,8,2,2.3
0,0,0,0,0,0,0,0,0,1,1,1,1,22,8,2,2.32
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,2.38
0,1,1,0,0,0,0,0,1,1,0,0,0,8,8,2,4.81111748636588
1,0,0,1,1,0,0,0,0,0,1,1,1,44,320,0,4.811154528937758
0,0,1,0,1,0,0,1,0,0,0,1,1,8,8,1,4.811215176681939
1,1,1,1,1,0,0,1,0,1,0,1,0,22,320,2,4.811289188308563
1,0,1,1,1,0,0,0,0,1,0,0,0,8,8,0,4.811341126813463
1,1,0,0,1,1,1,0,1,0,1,0,0,8,320,1,4.811361050831034
0,0,1,1,1,0,0,0,0,1,0,1,0,48,8,1,4.811586809537106
