NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,0,0,0,0,0,1,1,0,0,1,8,8,0,0.35
1,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,0.38
0,0,0,1,0,0,0,0,1,0,0,0,0,8,320,0,0.38
1,0,1,0,0,1,0,0,1,1,0,1,1,8,320,0,0.4
0,1,1,0,0,1,0,0,1,1,0,0,0,8,160,0,0.41
0,1,1,0,0,1,1,0,0,0,0,0,0,22,160,0,0.42
1,0,0,1,0,0,1,0,0,1,0,0,0,22,8,0,0.43
0,0,1,0,0,1,0,0,1,1,0,1,1,8,8,0,0.43
0,0,1,0,0,1,0,0,1,1,0,0,1,8,160,0,0.46
0,0,0,1,0,0,0,0,1,1,0,0,0,22,8,0,0.48
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,0,0.48
0,0,0,1,0,0,0,0,1,0,0,0,0,22,8,0,0.56
0,0,0,0,1,0,0,0,0,1,0,0,1,44,8,1,0.65
0,0,1,0,0,1,0,0,1,1,0,1,1,22,8,0,0.67
0,1,0,0,0,0,0,0,0,1,1,0,0,44,320,0,0.79
0,1,0,0,0,1,0,1,0,0,0,0,0,44,160,0,0.84
1,1,1,0,0,1,0,0,0,1,1,1,0,44,160,0,0.89
1,0,1,0,0,1,0,0,1,1,0,0,1,8,160,0,1.2210051346389856
1,0,1,0,0,0,1,0,1,1,0,0,1,8,160,0,1.221293589405505
0,0,1,0,0,1,1,0,1,1,0,0,1,8,160,0,1.2215849484895023
