OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,928.285152187291
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,896.44649874891
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,767.453673125972
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,767.379410349101
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,747.648051068443
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,695.696820166949
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,681.1251614888
0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,672.077832342672
1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,664.639032547623
1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,655.247934352729
0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,611.9727663400735
1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,611.9718170847996
0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,611.9713083403328
1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,611.9711291039712
1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,611.9704580698807
1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,611.9701972458503
1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,611.9700358143787
0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,611.9691052053167
0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,611.968724145117
1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,611.9683484973931
