encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,1,0,1,0,0,0,1,0,0,0,8.85
0,1,0,1,0,0,0,1,1,1,0,8.97
0,0,0,0,0,1,0,1,1,1,0,9.33
1,1,1,0,0,0,0,0,0,1,0,9.96
1,1,0,1,0,0,0,0,0,0,0,10.03
0,1,0,0,0,0,1,0,0,1,0,10.17
0,1,1,0,0,0,0,1,0,0,0,10.27
1,0,0,0,0,0,1,0,0,1,0,10.33
0,0,0,0,0,1,0,1,0,0,0,10.7
0,0,0,1,0,0,0,1,1,1,0,10.72
1,0,0,0,0,0,1,0,1,1,0,14.45
1,0,0,1,0,0,0,1,0,0,0,14.64
0,0,0,0,0,0,1,1,0,1,0,14.68
0,1,0,0,0,0,1,0,1,1,0,14.69
1,0,0,1,0,0,0,1,1,0,0,14.74
0,1,0,0,0,1,0,1,1,1,0,14.75
0,0,0,1,0,0,0,0,1,1,0,14.93
0,0,0,0,0,1,0,1,1,0,0,14.93
0,0,1,0,0,0,0,0,1,0,0,15.21
0,1,1,0,0,0,0,1,0,1,0,15.24
