NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,1,0,0,0,0,0,1,1,0,1,0,44,8,2,2.71
1,0,1,0,1,1,0,0,0,1,0,1,1,22,160,0,2.94
1,1,1,0,0,0,1,0,0,1,0,0,0,44,8,1,2.11
1,1,1,0,0,0,1,0,0,0,0,1,0,44,8,1,2.18
0,0,0,1,0,0,0,0,1,0,0,0,0,44,8,2,4.22
1,0,1,1,0,0,0,1,0,0,0,1,0,8,8,1,1.39
0,0,1,1,1,0,0,0,0,1,0,1,0,22,8,0,2.7
1,1,1,0,0,0,0,0,0,1,1,0,0,22,8,0,2.5
1,0,1,0,0,0,1,0,0,0,0,0,1,44,8,1,3.12
0,0,0,0,0,0,0,0,1,0,0,1,1,48,160,0,6.53
0,1,0,0,0,0,1,0,1,0,0,0,0,8,320,1,9.623125123619428
0,1,1,1,1,0,0,0,0,1,0,0,0,48,320,2,9.623041086284342
1,1,0,1,1,0,0,0,1,0,1,0,0,48,8,2,9.627718952330332
0,1,1,0,0,0,1,1,1,1,1,0,1,44,320,1,9.623287129913727
1,1,0,0,1,0,1,0,0,1,0,0,1,22,160,0,9.625258804961117
0,0,0,1,0,0,0,1,1,1,0,1,0,8,8,1,9.62784563769672
0,0,1,0,1,1,1,1,1,1,1,1,1,44,8,0,9.628047618945107
0,0,0,0,1,1,0,0,1,0,0,0,0,8,320,1,9.625105773053065
0,1,0,1,1,1,1,0,0,0,1,0,0,22,8,1,9.621438827244978
1,1,0,0,0,0,1,1,0,0,1,1,0,48,160,2,9.624463659705668
0,1,1,0,0,1,1,1,1,1,0,1,1,48,8,1,9.623505836674498
1,0,1,1,1,0,0,0,0,0,0,1,1,48,8,0,9.621890252487033
0,1,1,1,1,0,1,1,0,0,1,0,1,44,8,0,9.627996075559897
