OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,518.946845252935
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,951.263097273856
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1059.55157338982
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,995.976195918919
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,987.686836554302
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,353.577816794557
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,540.627399406997
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,994.432145948203
1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,524.714895762639
0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,977.867786963087
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,985.569475454479
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,995.469864111746
1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,566.822826790439
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,601.848898636577
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1026.93114947867
1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,584.395562100101
1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,830.072292915298
1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,574.563588921042
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,488.631443575657
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,991.205405648134
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,518.946845252935
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,991.205405648134
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,951.263097273856
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,488.631443575657
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,987.686836554302
1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,830.072292915298
1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,574.563588921042
1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,584.395562100101
1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,566.822826790439
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,601.848898636577
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,978.975864155396
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,908.76791666118
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,252.2856608534715
0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,252.28183076098298
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,252.28915675450324
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,252.2820721175832
1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,252.28917393171238
0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,252.2842692293712
0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,252.2869712724259
0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,252.28734193473807
1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,252.28592087258744
1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,252.28452193365717
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252.28892685847728
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,436.783078674239
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,252.2860389583626
1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,252.28861326807007
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,986.519402544872
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,985.778855892911
1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,252.28816834135233
1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,252.28806685338765
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,506.093032473829
0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,503.27895519227
1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,252.28317540378907
0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,252.28575011161385
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,252.28781394629553
1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,252.2888033966941
1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,252.2872153716473
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,497.493964253977
1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,252.28222035483824
1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1015.01713091938
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,252.2870282272115
0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,252.28619879563163
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,526.228240733222
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,252.28318412504694
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1017.40829136161
0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,252.28552429537032
1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,252.28465007509382
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,993.149954137868
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,998.752517373045
0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,252.28171395370313
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,503.891822692334
1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,252.2858041815618
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,252.28499959111136
1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,252.2864892540024
1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,252.2830806108151
1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,252.28180443458044
