auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,1,1,0,0,0,1,18.58
0,0,0,0,0,0,1,0,0,0,0,1,18.78
1,0,0,0,0,0,0,0,0,0,0,0,10.02
0,0,0,0,0,0,1,0,0,0,0,0,18.57
0,0,0,0,0,0,1,1,0,0,0,0,18.72
0,0,1,0,0,0,1,0,0,0,0,1,18.82
0,0,0,0,0,0,1,0,1,0,0,0,32.74
0,0,0,0,0,0,1,1,1,1,0,0,33.01
1,1,0,0,0,0,0,0,0,0,0,1,7.85
0,1,0,0,0,0,1,0,0,0,0,0,19.7
1,1,0,0,0,0,0,0,0,0,0,0,7.88
0,1,1,1,0,0,0,0,0,0,0,0,19.74
0,0,0,0,0,1,1,0,0,0,0,0,26.41
0,0,0,0,0,1,1,0,0,0,0,1,26.31
0,0,0,0,0,1,1,0,0,0,1,1,18.94
0,0,1,0,0,1,0,0,0,0,1,0,18.5
0,0,1,0,0,1,0,0,1,0,1,0,35.95
0,0,0,0,0,1,0,0,1,0,1,0,35.65
1,1,1,0,1,1,1,1,0,1,1,0,36.74
1,1,1,0,1,1,1,1,0,0,0,0,37.74
0,1,1,0,1,1,1,1,1,1,0,1,85.33330464988131
0,1,1,1,1,1,0,1,1,0,1,0,85.15
0,1,0,1,1,1,0,1,0,0,1,1,85.33353225631849
0,1,1,0,0,1,1,0,1,0,0,0,85.33826384877136
1,1,1,0,1,1,1,1,1,0,1,1,36.94
0,0,1,0,0,1,0,0,0,0,1,0,18.5
1,0,0,0,1,1,1,1,0,1,0,1,85.33491906386459
1,1,1,1,0,1,0,0,0,1,0,1,85.33217889336794
1,0,1,1,1,1,1,0,0,1,1,0,85.33686873710978
1,0,0,1,0,0,1,0,0,0,0,0,85.33665145814813
0,1,0,0,0,0,1,1,0,0,0,1,85.33212945147946
0,0,1,1,1,1,0,0,0,0,1,0,19.03
1,1,0,0,1,0,0,0,0,1,0,0,85.33402039519157
1,1,0,0,0,1,0,0,0,0,0,0,85.33733001466894
1,1,0,0,0,0,1,0,0,0,1,0,85.333396006454
1,1,0,1,0,0,0,0,0,0,0,0,7.84
1,0,0,0,0,0,0,0,1,0,0,0,18.67
0,0,0,0,0,0,0,0,0,0,1,0,18.83
0,0,0,0,1,0,1,0,1,0,1,0,85.33372312218584
1,1,0,0,0,0,1,0,0,0,1,1,85.33488381157538
0,0,0,0,0,1,0,0,0,0,0,0,26.41
0,1,0,0,0,0,1,0,0,0,0,1,85.3356968783845
1,1,0,0,0,1,0,0,0,0,1,0,85.33675892282679
0,0,1,0,0,0,0,0,0,0,0,1,18.71
1,1,0,0,0,0,0,0,1,0,0,1,85.33558870739722
0,1,0,0,0,0,1,0,1,0,0,0,85.33224389034639
0,0,0,0,0,0,1,1,1,0,0,0,33.3
0,0,0,0,0,0,0,0,0,0,0,1,18.82
0,0,1,0,0,0,0,0,0,0,1,0,18.84
0,0,0,1,0,0,1,0,0,0,0,0,18.7
1,0,1,0,0,1,0,0,0,0,0,0,85.33179923705525
1,1,0,1,0,1,0,0,0,0,1,0,37.11
0,0,1,0,0,1,0,0,0,1,0,1,85.33630706010018
0,0,0,0,1,0,0,0,0,0,1,0,18.93
1,0,0,1,0,0,0,0,1,0,0,1,85.33433929181916
1,1,0,0,1,0,0,0,0,0,0,0,85.33393788751921
1,1,0,1,1,0,1,0,0,0,0,0,85.33207491853999
1,0,1,0,0,0,0,0,0,0,0,0,10.01
0,0,0,0,1,0,0,0,0,0,0,1,18.88
1,0,1,0,0,0,1,1,0,0,0,1,85.33441884525621
0,0,0,1,0,0,1,1,0,0,0,0,85.33206070251649
0,0,0,0,0,0,1,1,0,1,0,1,85.33502104791646
0,0,1,0,0,0,1,1,0,1,0,0,85.33564306099112
0,1,1,0,0,1,0,0,0,0,1,0,85.33285486400489
0,0,1,1,0,1,0,0,0,0,0,0,85.33129406536797
0,0,1,0,1,0,0,0,0,1,0,1,85.33318475122076
1,0,0,0,0,0,0,0,0,0,0,1,9.98
0,0,1,1,1,0,1,0,1,0,0,1,85.33102061136778
0,0,0,0,1,0,1,0,0,0,1,1,85.33253815596991
0,0,1,0,0,1,0,0,0,0,0,0,26.28
0,0,1,0,1,1,0,0,0,0,1,1,85.33197341516694
1,0,1,1,0,0,0,0,0,0,0,1,85.33353533160775
1,1,0,1,0,0,0,0,0,1,0,0,7.89
1,1,0,0,0,0,0,0,0,1,0,0,7.84
0,0,0,1,0,1,0,0,0,0,0,1,85.33423430458564
1,1,0,0,0,0,0,0,0,0,1,1,7.86
0,0,1,0,0,0,1,1,0,0,0,0,85.33651634779088
0,0,1,0,0,1,0,0,0,0,1,1,85.33489592787048
1,1,0,0,0,0,1,1,0,0,0,0,85.3384705864737
0,0,0,0,1,0,1,0,0,0,0,1,18.69
1,0,0,1,0,0,0,0,0,0,0,0,9.99
1,1,1,0,0,0,0,0,0,1,0,0,85.33193299304367
1,0,1,0,0,0,0,0,0,0,0,1,85.33599884847952
1,1,1,0,0,1,1,0,1,0,0,0,85.33802016809223
1,1,0,1,1,0,0,0,0,0,0,0,85.33562313446836
1,1,0,0,0,0,0,0,0,0,1,0,7.85
1,1,0,1,0,0,0,0,0,0,0,1,7.89
1,1,0,1,0,0,0,0,0,1,0,1,85.33488352691874
0,0,0,1,1,0,1,0,0,0,1,1,85.33843094281686
1,1,0,1,1,0,0,0,0,1,0,1,85.33563130936479
