auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,1,1,1,1,0,0,1,1,1,1,0,835.06
0,1,1,0,0,1,0,1,0,1,0,0,29.51
0,0,1,1,1,0,1,1,1,1,1,1,368.91
0,1,1,1,1,1,1,0,1,1,0,0,42.52
0,0,0,0,1,0,1,0,1,0,0,1,4.23
0,1,1,0,0,1,1,1,1,0,1,0,38.98
0,1,1,0,0,1,0,0,0,0,0,0,29.66
0,0,1,1,1,1,1,0,1,1,1,0,29.88
0,1,0,0,0,1,0,0,0,0,0,0,29.58
1,0,1,0,1,0,0,0,0,0,1,0,377.73
1,1,1,0,0,1,1,0,0,0,0,1,841.4839604498723
0,0,0,0,1,0,0,0,1,1,1,1,841.4874206491461
0,0,1,1,0,0,0,1,1,1,0,1,841.484507921963
0,1,0,1,0,1,1,0,0,0,1,0,841.4832575501729
0,1,0,0,1,0,0,1,0,1,0,1,7.49
0,0,1,1,0,1,0,0,1,1,1,1,841.48197678817
1,0,0,0,1,1,0,1,0,0,0,1,841.4880062741943
1,0,1,0,1,0,1,0,0,0,1,1,841.4814782973503
1,0,1,1,1,1,0,0,1,0,1,0,841.4884118187063
0,0,1,1,1,1,1,1,1,0,0,0,841.4869537514877
1,0,0,0,1,1,0,0,0,1,1,0,841.48617252038
0,1,1,1,0,0,0,1,1,0,0,1,841.4868159302938
0,1,1,1,0,1,1,1,0,1,0,0,841.4818436874665
1,1,1,1,1,0,0,1,1,1,0,1,9.71
1,1,1,1,1,0,1,1,1,1,1,0,836.68
0,1,1,1,1,0,1,1,1,1,0,0,9.63
1,1,1,1,1,0,1,0,1,0,1,1,841.4850116346934
1,1,1,1,0,1,1,0,1,1,0,1,841.4810542413458
0,1,0,0,1,1,1,0,1,0,0,0,841.4871496408861
0,1,1,1,1,0,1,0,0,1,0,1,7.89
0,0,1,0,0,1,1,1,0,0,1,0,841.484084631765
1,1,1,0,0,1,0,0,1,1,0,0,37.94
0,1,0,1,1,0,0,0,1,1,0,1,841.4886196445077
0,0,1,0,0,1,0,0,0,0,1,1,841.4871198989814
0,1,1,1,1,0,1,0,0,1,1,1,841.486557430449
0,1,0,0,1,0,1,1,1,0,0,1,841.4826767262547
0,1,1,0,0,0,0,1,1,1,0,1,841.4867807199175
1,1,0,1,0,1,0,1,0,1,0,0,841.482651209245
0,0,1,1,1,0,0,0,1,1,1,1,841.4838827312273
1,0,1,1,0,1,1,0,0,0,0,1,841.4841888146708
0,0,0,0,1,0,1,0,1,0,1,0,841.4850808474803
0,1,0,1,1,0,0,1,0,1,0,0,7.92
0,1,1,1,1,1,1,0,1,1,0,1,841.4827581062472
1,1,0,1,1,0,0,1,1,1,0,0,841.4817565135294
0,0,0,0,1,0,1,1,0,1,0,0,841.4855520083892
0,0,1,1,1,1,1,0,0,1,1,0,841.4832979677813
0,0,1,1,1,1,1,0,1,1,0,0,29.65
0,1,1,1,1,0,0,1,0,1,0,1,841.4826083285946
0,1,0,0,1,0,1,1,1,1,0,0,841.4811700948188
0,1,1,1,1,0,1,0,1,0,1,1,841.4880505521996
0,0,0,0,1,0,1,0,0,0,0,1,3.34
0,1,1,1,1,0,1,1,0,1,0,1,841.4837268904423
0,1,0,1,1,1,0,1,0,1,0,0,841.4837292286514
0,1,1,1,0,1,0,1,0,1,0,0,841.4875875636316
0,1,0,1,1,0,0,1,1,1,0,0,9.65
1,1,0,0,0,1,1,0,0,0,0,0,841.4869305012252
1,1,0,0,0,1,0,0,0,0,0,0,841.4826755399248
0,0,1,0,0,1,0,0,0,0,1,0,5.5
0,1,0,1,1,1,1,0,1,1,0,0,41.0
1,1,1,1,1,0,0,1,0,1,0,1,841.4874174202351
0,1,1,0,0,1,0,0,1,0,0,0,841.4847153476703
0,0,1,1,1,1,1,0,1,0,0,0,841.4849674952657
1,0,1,0,0,1,0,0,1,1,0,1,841.4867852210327
1,1,1,1,1,0,0,0,0,1,0,0,7.85
0,1,0,0,0,1,1,1,1,0,1,0,841.4884050651486
0,1,1,1,1,0,1,1,1,1,0,1,9.63
0,1,0,0,1,1,0,0,0,1,1,1,841.4822642821571
0,1,1,1,1,1,0,0,1,1,0,1,41.24
0,1,1,0,0,1,1,1,0,1,0,1,841.485695405437
0,1,1,0,1,1,1,1,1,1,1,0,37.96
0,0,1,1,1,1,1,1,1,1,0,1,841.481903351426
0,1,1,0,1,1,1,0,1,1,0,0,841.4886734011549
0,1,1,0,0,0,0,1,1,1,0,0,841.4822970896187
0,1,0,0,1,0,0,1,0,1,1,0,841.487201189048
1,1,1,1,0,0,0,0,1,1,0,0,841.483768541785
1,0,1,1,1,0,1,0,0,1,0,1,841.4868857011925
0,0,1,1,1,0,0,0,0,1,0,0,3.22
1,1,1,0,1,1,0,0,0,0,1,0,841.4824784577214
0,1,1,1,1,0,0,1,0,1,0,0,841.4831315095256
0,1,0,1,0,0,1,1,0,1,0,1,7.48
0,1,1,1,1,0,1,0,0,0,0,1,841.4815431668119
0,1,1,1,0,0,1,1,1,1,0,1,8.96
1,0,1,0,1,0,0,1,0,1,0,1,841.4817962435799
0,0,0,1,1,0,1,0,0,1,0,1,841.4860571745337
0,1,1,1,0,0,0,0,1,1,0,0,841.4825842975031
1,1,1,0,1,0,0,1,1,1,0,1,841.4857830334187
1,0,0,0,1,0,1,0,0,0,0,1,841.4839938908963
0,1,0,1,1,0,0,1,0,1,0,1,7.98
0,1,1,1,0,1,0,1,1,0,1,0,37.89
0,1,1,0,1,0,0,1,0,1,0,1,841.4858818405095
