auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,1,0,1,0,0,0,0,0,1.76,1
0,0,0,0,1,0,0,0,0,0,0,0,1.76,1
1,0,0,0,0,0,0,1,0,0,1,0,1.485714,0
1,0,1,0,1,0,0,0,0,0,0,0,1.575,0
1,0,0,1,0,0,0,0,0,1,0,0,1.1,0
0,0,1,0,1,0,0,0,0,1,0,0,1.1,0
1,0,0,0,1,0,0,0,0,1,0,0,1.0,0
0,0,1,0,0,0,0,1,0,0,0,0,1.9,1
1,0,0,0,0,0,1,0,0,0,1,0,1.433333,0
1,0,0,0,1,0,0,0,0,0,0,0,1.033333,0
0,0,0,1,0,0,0,1,0,0,0,0,1.65,0
1,0,0,0,0,0,0,0,0,1,1,0,1.48,0
1,0,0,0,0,1,0,0,0,0,0,0,0.8,0
1,0,0,0,0,1,0,0,0,0,1,0,1.4,0
1,0,0,0,1,0,0,0,0,0,0,1,0.8,0
1,0,0,0,0,0,0,0,0,0,1,0,1.3,0
1,0,0,0,0,0,0,0,0,0,0,1,1.233333,0
1,0,0,0,1,0,0,1,0,1,0,1,0.8,0
1,1,0,1,0,0,0,1,0,1,0,0,0.6,0
1,0,0,0,0,0,0,1,0,1,0,0,0.6,0
1,0,0,0,0,0,0,0,0,1,0,1,0.6,0
1,0,0,0,0,0,1,1,0,1,1,0,1.2,0
1,0,0,0,1,0,0,1,0,0,1,0,1.2,0
1,0,1,0,0,0,0,0,0,0,1,0,1.2,0
1,0,0,0,0,0,1,0,0,1,1,0,0.9,0
1,0,1,0,0,0,0,0,0,0,1,1,0.9,0
1,0,0,1,0,0,0,0,0,0,0,0,1.2,0
0,0,0,1,0,0,0,0,0,0,0,0,1.7,0
0,0,0,0,0,0,1,0,0,0,0,0,1.95,1
0,0,1,1,0,0,0,0,0,0,0,0,1.7,0
0,0,0,0,0,0,0,1,0,0,0,0,1.95,1
0,0,1,1,1,0,0,0,0,0,0,0,1.7,0
0,0,0,0,0,0,1,0,0,0,0,1,1.9,1
0,0,0,0,0,0,0,1,0,0,0,1,1.9,1
1,0,0,0,0,0,0,1,0,0,0,0,1.9,1
1,0,1,0,0,0,0,1,0,1,0,0,1.9,1
1,0,1,0,0,0,0,1,0,0,0,0,1.9,1
0,0,1,0,0,0,0,0,0,0,0,0,1.9,1
0,0,0,0,0,0,0,0,0,0,0,0,1.9,1
0,0,0,0,0,1,0,0,0,0,1,0,1.2,0
0,0,0,0,0,1,0,0,0,0,1,1,1.2,0
1,0,0,0,1,1,0,0,0,0,1,0,1.2,0
1,0,0,1,0,1,0,0,0,0,1,0,1.2,0
0,0,0,0,0,1,0,0,0,0,0,1,1.65,0
0,0,0,0,0,1,0,0,0,0,0,0,1.65,0
1,0,0,1,0,1,0,0,1,0,1,1,1.2,0
0,0,1,0,0,1,0,0,1,0,0,1,1.2,0
0,0,0,0,0,1,0,0,1,0,0,1,1.2,0
0,0,0,0,1,0,0,0,0,0,1,1,1.8,1
0,0,1,0,0,0,0,0,0,0,1,0,1.8,1
0,0,1,0,0,1,0,0,0,0,0,0,1.8,1
0,0,0,0,0,1,1,0,0,0,0,0,1.8,1
0,0,1,0,0,1,0,0,0,0,1,0,1.8,1
0,0,0,0,0,1,0,1,0,0,0,0,1.8,1
0,0,0,0,0,1,0,1,0,0,1,0,1.8,1
0,0,1,0,0,1,1,0,0,0,0,0,1.8,1
