iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,90,1.46
0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,90,1.51
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,10,1.52
0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,90,1.52
0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,90,1.53
0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,90,1.53
0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,10,1.58
0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,90,1.61
0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,10,1.62
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,90,1.68
0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,10,1.6814262949359513
1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,90,1.6828451647776852
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,10,1.6830689714270313
1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,10,1.6835817538371083
1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,90,1.6843073497840286
1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,90,1.6843269472863962
1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,90,1.685524999729073
0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,10,1.6857283741098228
0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,90,1.685975368256458
0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,90,1.6862391860325663
