encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,1,0,1,0,0,0,1,0,0,0,3.78
0,0,0,0,0,1,0,0,0,1,0,3.79
0,1,1,0,0,0,0,1,0,0,0,3.69
0,0,0,0,0,1,0,1,1,1,0,3.81
1,0,0,1,0,0,0,1,0,1,0,3.73
0,0,0,0,0,1,0,1,0,1,0,3.88
0,0,0,0,1,0,0,0,0,1,0,3.82
0,0,0,0,0,1,0,0,1,1,0,3.82
0,0,0,0,1,0,0,0,0,1,1,3.82
0,1,1,0,0,0,0,1,1,0,0,8.02
0,0,1,0,0,0,0,1,0,0,0,7.5
0,1,0,1,0,0,0,1,0,1,0,5.02
1,0,0,1,0,0,0,0,1,1,0,3.75
0,0,0,0,0,1,0,1,0,0,0,3.91
1,0,0,1,0,0,0,1,0,0,0,7.16
1,1,0,0,1,0,0,0,1,0,1,3.92
0,1,0,1,0,0,0,1,1,1,0,3.84
0,0,0,0,0,1,0,0,0,0,0,3.81
0,1,0,0,0,1,0,1,0,1,0,5.05
0,1,0,0,1,0,0,0,0,0,1,3.94
