encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
1,0,0,0,0,1,0,1,1,0,0,9.37
0,0,0,0,1,0,0,1,0,0,1,6.11
0,1,0,1,0,0,0,0,0,1,0,81.16
1,1,0,0,0,0,1,0,0,1,0,16.54
0,0,0,0,1,0,0,0,0,1,1,6.33
0,0,1,0,0,0,0,1,0,0,0,13.71
0,0,0,1,0,0,0,0,0,1,0,8.69
0,1,0,0,1,0,0,1,0,1,1,17.04
1,1,0,0,0,1,0,1,1,1,0,12.08
1,1,0,0,0,0,1,1,1,1,0,84.37
0,1,1,0,0,1,1,1,1,0,1,163.82860102692845
0,1,0,0,1,1,1,0,1,0,1,163.82794548550066
0,0,1,1,0,1,0,0,1,0,0,163.82298903565828
1,0,1,1,0,1,1,0,1,1,1,163.82533263027943
1,0,1,0,0,0,0,0,0,0,0,17.04
0,1,0,1,0,0,0,1,0,1,0,8.66
1,1,1,1,1,1,1,1,0,1,0,163.82369040363457
0,1,0,1,1,0,0,0,0,1,0,163.8282746955851
1,0,1,0,0,1,0,0,0,0,1,163.8212278708663
0,0,0,1,1,0,1,1,1,0,0,163.82541696197814
0,1,0,0,0,0,1,0,0,0,1,163.82366054188566
0,1,1,1,0,1,1,0,1,0,0,163.82361327033405
1,1,1,0,1,1,1,1,1,0,0,163.82612946316533
0,1,0,1,0,1,1,1,1,1,0,163.82237335651942
0,1,1,1,1,1,1,1,1,0,0,163.82819525508293
0,1,1,1,1,1,1,0,1,0,0,163.82782524163062
1,1,1,1,1,0,0,1,0,1,0,163.8246121278183
0,0,0,1,0,0,1,1,1,1,0,163.82883472281645
0,1,0,0,1,1,1,1,1,0,0,163.82559736476483
0,0,1,0,0,1,1,0,0,1,0,163.82759318822986
0,0,1,1,0,0,1,0,0,0,1,163.82742968848052
0,0,1,1,1,0,1,0,0,0,1,163.82807904374755
0,0,1,1,0,0,1,0,0,1,1,163.82883634921453
0,0,0,1,1,0,0,0,0,0,1,163.82459047734332
0,0,1,1,1,0,1,0,0,1,1,163.82149568909387
0,0,1,1,1,0,1,1,0,0,1,163.8249304950891
0,0,1,1,1,1,1,0,0,1,1,163.82448558287484
0,0,0,1,1,0,1,0,0,0,1,163.82737432052213
0,0,1,1,0,0,1,1,0,0,1,163.82433405309834
0,0,1,1,1,0,0,0,0,0,1,163.82745088787837
0,1,1,1,1,0,1,0,0,0,1,163.82705486060647
0,0,1,0,1,0,1,0,0,0,1,163.82392647045785
0,0,1,1,1,0,1,0,1,0,1,163.82105944724515
1,0,1,1,1,0,0,0,0,0,1,163.82653013726375
0,0,1,1,0,0,1,0,1,0,1,163.82480759926906
0,0,1,1,1,0,1,0,0,1,0,163.8213984150005
1,0,1,1,1,0,1,0,0,0,1,163.82427456507534
0,0,1,1,1,1,1,0,0,0,1,163.8280726943942
0,0,1,1,1,0,1,0,1,0,0,163.82750207065124
0,0,1,1,1,0,1,0,0,0,0,163.8225721887217
0,0,1,1,1,0,1,1,0,1,1,163.82134684952635
0,1,1,1,1,0,1,0,1,0,1,163.82584569623944
0,0,1,0,1,0,1,0,1,0,1,163.823343470593
0,0,1,1,1,0,1,1,0,1,0,163.82766844501322
0,1,1,1,0,0,1,0,0,0,1,163.82167951545452
0,0,1,0,1,0,0,0,0,0,1,163.82701045418008
0,0,1,1,1,0,1,1,1,0,1,163.8288361042597
0,0,0,1,1,0,1,0,0,1,1,163.82552351854537
0,1,1,1,1,0,1,1,0,0,1,163.82878105218785
1,0,1,1,1,0,1,0,0,0,0,163.82137989841044
0,0,1,1,0,0,1,0,0,0,0,163.82349658930866
0,1,1,0,1,0,1,0,0,0,1,163.82592380936515
0,0,1,1,1,0,0,1,0,0,1,163.82508082270337
0,0,0,1,1,1,1,0,0,0,1,163.82300485597875
0,0,1,0,1,1,1,0,0,0,1,163.82512053933894
0,1,1,1,1,0,0,0,0,0,1,163.82483152157576
0,0,1,0,0,0,1,0,0,0,1,163.82399078467236
1,0,1,1,0,0,1,0,0,0,1,163.82584134508159
0,0,0,1,1,0,1,0,1,0,1,163.82151274678364
1,0,1,1,1,0,1,0,1,0,0,163.82598673807578
0,0,1,0,1,0,1,0,0,0,0,163.82661087407448
0,0,1,1,0,0,0,0,0,0,1,163.82199919479032
0,1,1,1,1,1,0,1,0,0,1,163.8228458998642
1,0,1,1,1,1,1,0,0,0,1,163.82651284498465
0,0,1,1,1,1,1,1,0,0,1,163.82301798377412
0,0,1,1,0,1,1,0,0,1,1,163.82342659978895
1,1,1,1,1,0,1,0,0,1,1,163.82586239059904
0,1,0,1,1,0,0,0,0,0,1,163.82842708896627
0,0,0,0,1,0,1,0,0,0,1,163.82761822329
0,0,1,1,1,0,0,0,0,1,1,163.82358916319947
0,0,1,0,1,0,1,0,0,1,1,163.82221080007454
0,0,1,1,0,1,1,0,0,0,0,163.82305058673285
0,0,1,1,1,1,1,0,0,0,0,163.82303547465096
0,1,1,1,1,0,1,0,0,0,0,163.82702410560933
1,0,0,1,1,1,1,0,0,0,1,163.82270647705005
0,0,0,1,1,1,1,0,0,1,1,163.82295231325182
1,1,1,1,1,0,1,0,0,0,1,163.82207636263703
0,0,1,1,1,0,1,0,1,1,1,163.8250094159967
1,0,0,1,1,0,1,0,1,0,1,163.82250046048597
0,0,0,0,1,0,0,0,0,0,1,6.49
