auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,1,0,0,0,0,0,0,3.03
0,0,0,0,0,1,1,1,0,1,1,1,0.11
0,1,1,0,1,0,0,1,1,1,1,0,31.04
0,1,1,0,1,0,0,0,1,1,1,0,30.68
0,0,0,1,0,1,0,0,0,0,0,0,3.65
0,0,0,0,0,0,0,0,1,0,1,0,13.34
0,1,0,0,0,0,0,0,1,0,1,0,29.25
0,0,1,1,1,0,0,1,1,1,1,0,7.7
0,0,0,0,0,0,0,1,1,1,1,1,13.42
0,1,0,0,0,0,0,0,0,0,1,0,7.43
0,0,0,1,0,0,0,0,0,0,0,0,4.05
0,0,0,0,0,0,0,0,0,0,0,1,2.4
0,0,0,0,0,0,1,0,0,0,0,0,2.4
0,0,0,0,0,0,0,1,0,1,0,0,2.41
1,0,1,0,0,0,0,0,0,0,0,0,9.85
0,0,0,1,0,0,0,1,0,0,0,0,4.06
0,0,0,0,1,0,0,0,0,0,0,0,2.41
0,0,0,1,0,0,0,0,0,0,0,1,4.06
0,1,0,0,0,0,1,0,0,0,0,0,5.83
0,0,0,0,0,0,0,0,0,0,0,0,2.42
0,0,0,1,0,0,0,0,0,0,0,0,4.05
1,0,0,0,0,0,0,0,0,0,0,0,9.85
1,0,1,0,0,1,1,1,0,1,1,1,8.82
1,0,0,0,0,1,0,0,0,0,0,0,11.81
1,0,0,0,0,1,0,1,0,1,1,0,9.13
0,0,0,0,0,1,1,1,0,1,1,1,0.11
0,0,0,0,0,1,0,0,0,0,0,0,3.03
1,0,0,1,0,1,0,0,0,0,0,0,10.28
1,0,1,1,1,1,1,1,0,1,1,0,11.15
1,0,0,1,0,1,0,0,0,0,1,0,11.47
1,0,0,0,0,0,0,0,0,0,0,1,9.87
0,0,0,0,0,1,0,1,0,1,0,0,3.03
0,0,0,1,1,1,0,0,1,1,0,0,116.92832737012188
0,0,0,0,1,0,0,1,0,1,1,1,116.92894627084536
0,0,0,1,0,0,0,0,0,1,0,0,4.05
1,0,0,1,0,0,0,0,1,0,0,1,116.92897161829012
0,1,0,1,0,0,0,0,0,0,0,0,6.55
0,1,0,1,0,0,0,1,0,1,0,0,6.56
0,0,0,0,0,1,0,0,0,1,1,0,0.11
0,0,0,0,0,0,1,1,0,0,0,0,2.4
1,0,0,0,0,1,0,0,0,0,1,1,116.9288735762566
0,0,0,0,0,1,0,1,0,1,1,1,116.92219816741688
1,0,0,0,0,1,1,1,0,1,1,1,116.92347521233927
0,0,0,0,0,0,0,0,0,0,1,0,2.05
0,0,1,0,1,0,0,0,0,0,0,0,2.43
0,1,0,1,1,0,0,1,0,0,0,0,116.92367329752548
0,0,1,1,0,1,1,1,0,1,1,1,1.92
0,0,0,0,0,0,1,1,0,1,1,1,116.92245497979998
1,0,0,0,0,1,0,1,0,1,1,1,116.92204556957164
0,0,0,0,0,1,1,0,0,0,0,0,3.0
0,0,0,0,0,0,1,1,1,0,0,1,116.92812991086382
0,0,0,0,0,0,1,0,0,0,0,1,2.39
0,1,0,0,0,0,0,0,0,0,0,0,5.81
1,0,0,1,0,0,0,1,0,0,1,0,116.92438775776039
0,0,0,0,0,1,0,0,0,0,1,0,0.11
0,0,0,0,0,0,1,0,0,1,1,0,2.03
0,0,0,1,0,0,0,0,0,0,1,0,2.75
0,0,0,0,0,0,0,0,0,1,0,0,2.41
0,0,1,1,0,1,0,1,0,1,1,1,116.92751488660002
0,0,0,1,0,1,1,1,0,1,1,0,116.92336639341319
0,1,0,0,0,1,1,0,1,1,1,0,116.92300000204936
0,0,0,0,1,1,0,1,0,0,0,1,116.92791847278306
0,0,0,1,0,0,0,0,0,1,1,0,2.74
0,0,1,1,0,0,0,1,0,1,0,1,4.06
0,0,0,1,0,1,0,0,0,1,0,0,116.92223032568074
0,0,1,0,1,1,1,1,0,1,1,1,116.92663073073473
0,0,0,0,0,1,0,1,1,1,1,1,116.928150285021
0,1,0,0,0,0,1,1,0,1,0,1,5.8
0,0,0,0,0,1,1,1,0,0,1,1,116.92374324628543
0,0,0,0,0,0,0,0,0,1,1,1,2.04
0,0,0,0,1,0,0,0,0,0,1,0,2.04
0,0,0,0,0,0,1,0,0,1,0,1,116.92573715039289
0,0,1,1,0,1,1,0,0,1,1,1,116.92364489697867
0,0,0,0,1,1,0,0,0,1,1,0,116.92303222881813
1,0,1,0,0,0,1,0,0,0,0,1,116.92144545162583
0,0,0,0,0,1,0,1,0,1,1,0,116.9266936614947
0,0,0,1,0,1,1,1,0,0,1,0,116.92605269624313
0,0,1,0,1,0,0,0,0,0,1,0,116.92610329417472
0,0,0,1,0,1,0,1,1,1,0,0,116.92748097606534
0,0,0,0,0,1,0,1,0,1,0,1,116.92560665942923
0,0,1,0,0,0,0,0,0,0,1,0,2.04
0,0,1,0,0,0,1,0,0,0,0,0,2.4
0,0,0,0,0,0,0,1,1,1,0,0,116.92774369105643
0,0,0,0,0,1,1,0,0,1,1,1,116.92207335285542
0,0,0,0,1,0,0,1,0,0,0,0,2.42
0,0,0,0,1,0,0,0,0,1,0,0,2.41
0,1,0,0,0,0,0,1,0,1,0,1,116.92344580120918
0,0,0,1,0,0,1,0,0,1,1,0,116.9283369227089
0,0,0,0,0,1,1,1,0,1,1,0,116.9281462552167
0,0,0,0,0,1,1,1,1,1,1,1,116.92454934967222
