iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.79
0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,1.82
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.83
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,90,1.84
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,1.86
0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,90,1.86
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,90,1.86
0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,90,1.87
0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,90,1.94
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,2.07
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,10,2.07
0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,10,2.09
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,2.1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,90,2.13
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,2.16
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.16
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,2.16
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.16
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90,2.17
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.17
