iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,10,1.48
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,1.49
0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,10,1.52
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1.52
0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,10,1.53
0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,10,1.53
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,1.53
0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,10,1.55
0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,90,1.55
0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,10,1.61
1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,10,1.6810843927049255
1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,10,1.6812437332909813
0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,90,1.6817092439005232
1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,10,1.6822393188704332
0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,10,1.6823971657563968
0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,90,1.6829616741198097
0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,10,1.683211637103989
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,10,1.6833262889098581
1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,90,1.6837317066473176
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,90,1.6841731040319257
