OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1030.96009408987
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,987.686836554302
1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,777.257890596007
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,641.077126713077
0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,612.206507273137
0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,586.456899500685
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,541.194721024333
1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,535.393298250082
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,504.580097099555
0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,441.313518225699
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,435.712380760048
0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,278.561999165377
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,252.28840578317048
1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,252.28803272872014
1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,252.28797206895953
0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,252.28794258521035
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252.28767074813493
0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,252.28753106258077
0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,252.28731630361278
0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,252.2871091993459
