auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,1,0,0,0,0,0,1.29
1,0,1,0,0,0,0,1,0,1,0,0,1.3
0,0,1,0,0,0,1,1,1,1,0,0,1.82
0,0,0,0,0,0,1,1,1,1,0,0,1.86
0,1,0,0,1,0,0,0,0,0,0,1,1.98
1,0,1,1,0,1,0,1,0,1,0,1,2.16
1,0,1,1,1,1,1,1,0,1,0,0,2.17
0,1,0,0,0,0,0,1,1,1,0,0,3.72
0,1,0,0,0,0,0,1,1,0,0,0,3.76
0,0,0,1,1,0,0,0,0,1,0,0,5.82
1,0,1,1,1,1,1,1,1,1,1,1,8.05
0,0,1,1,0,1,1,1,1,1,0,1,9.2
0,1,0,1,0,1,0,0,0,0,0,0,17.8
0,1,0,1,0,1,0,0,0,1,1,0,17.92
0,1,0,1,1,1,1,1,0,1,1,0,18.7
1,1,1,1,1,1,0,0,1,1,1,0,28.46
1,1,0,1,1,1,0,0,1,1,1,0,28.63
0,0,0,0,0,0,1,0,0,1,1,1,301.66
0,0,0,1,1,0,0,0,0,1,1,0,385.36
1,0,0,1,1,0,0,0,1,0,1,0,386.9
