auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,0,1,0,0,1,0,0.15
1,0,0,0,1,0,0,0,0,0,1,0,0.15
1,0,1,0,0,1,0,0,0,0,1,0,8.94
1,0,1,0,0,1,0,0,0,0,1,0,8.94
1,0,0,1,1,0,0,0,0,0,1,0,9.02
1,0,0,0,0,1,1,0,0,1,1,0,9.03
1,0,0,0,0,1,1,1,0,1,1,0,9.04
1,0,0,0,0,1,1,0,0,0,1,1,9.05
1,0,0,0,0,1,1,0,0,0,1,0,9.05
1,0,0,0,0,1,1,0,0,0,1,1,9.05
1,0,0,0,0,1,0,1,0,1,1,0,9.13
1,0,0,0,0,1,0,1,0,1,1,0,9.13
1,0,0,0,0,1,0,0,0,0,1,0,9.15
1,0,0,0,0,1,0,0,0,0,1,0,9.15
1,0,0,0,1,1,0,0,0,0,1,0,9.17
1,0,0,0,1,1,0,0,0,0,1,0,9.17
1,0,0,1,0,1,0,1,0,0,1,0,11.47
1,0,0,1,0,1,0,1,0,0,1,0,11.47
1,0,0,0,0,1,0,0,0,0,0,0,11.81
1,0,0,0,0,1,0,0,0,0,0,0,11.81
