encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,0,0,0,1,0,0,0,0,1,0,6.08
0,0,0,0,0,1,0,0,0,1,0,6.08
1,1,0,0,1,0,0,0,0,1,0,6.2
1,1,0,0,1,0,0,0,0,0,0,6.25
0,0,0,0,0,1,0,0,0,0,0,6.21
0,0,0,0,0,0,1,0,1,0,0,6.2
1,1,0,0,0,1,0,0,0,0,0,6.24
1,0,0,0,0,0,1,0,1,0,0,5.28
0,1,1,0,0,0,0,1,0,0,0,5.36
1,0,0,0,1,0,0,0,1,0,0,5.28
0,0,0,0,1,0,0,0,0,1,1,6.33
0,0,0,0,1,0,0,1,0,0,1,6.11
1,0,0,0,0,0,1,0,0,1,0,6.29
0,0,0,0,0,1,0,0,1,0,0,6.19
0,0,0,0,1,0,0,0,0,0,0,6.48
0,1,0,1,0,0,0,1,1,1,0,6.28
1,0,0,0,0,1,0,0,0,1,0,9.24
1,0,0,0,1,0,0,0,0,1,1,9.32
1,0,0,0,1,0,0,1,1,0,1,8.98
1,1,0,0,1,0,0,1,1,0,0,9.43
0,0,0,0,1,0,0,1,0,0,1,6.11
0,0,0,0,0,1,0,0,0,1,0,6.08
1,1,0,0,1,0,0,0,0,1,0,6.2
0,0,0,0,1,0,0,0,0,1,1,6.33
0,0,0,0,1,0,0,0,0,1,0,6.08
1,0,0,0,1,0,0,1,1,0,1,8.98
0,0,0,0,1,0,0,1,0,0,0,13.48
1,1,0,0,1,0,0,1,1,0,0,9.43
1,0,0,0,1,0,0,0,0,1,1,9.32
1,0,0,0,0,1,0,0,0,1,0,9.24
0,1,0,0,1,0,0,0,0,1,0,12.77
0,1,0,0,0,1,1,0,0,1,0,163.82682626008483
1,0,0,1,0,1,0,0,0,1,0,163.82200429378722
0,0,0,0,0,0,0,1,0,0,0,163.82806869903874
0,1,0,0,1,0,0,1,0,0,1,16.87
0,1,1,0,0,1,0,1,1,0,0,163.8228574342877
0,0,0,0,0,0,0,1,0,0,1,163.8267469944504
1,1,1,0,1,0,1,0,0,0,0,163.82176108001119
0,0,0,0,0,0,0,1,0,1,0,163.82270992932746
0,0,0,0,0,1,0,0,0,0,1,163.82200244004923
0,0,0,0,0,0,1,1,1,0,0,10.02
1,1,0,0,1,0,1,0,0,0,0,163.82730028735918
0,1,0,0,0,0,1,0,1,0,0,81.46
1,0,0,0,1,0,0,0,0,1,0,9.99
0,1,1,0,1,0,0,0,0,1,0,163.8263513156595
1,1,0,0,0,0,0,1,0,1,0,163.82591740264465
0,0,0,0,1,0,0,0,1,0,0,6.32
1,1,0,0,0,0,1,0,1,0,0,16.14
0,0,0,0,0,1,0,1,0,0,0,6.55
1,1,0,0,1,0,0,0,0,0,1,6.33
0,1,1,0,0,0,0,1,0,0,1,163.82682687402212
0,1,0,0,1,0,1,0,0,0,0,163.82649397335229
0,0,0,0,0,0,0,0,0,1,0,163.82219386165733
0,1,1,0,0,1,0,1,0,0,0,163.82872568772666
1,0,0,0,1,0,0,0,0,0,0,8.99
0,1,1,0,0,0,0,0,1,0,0,84.63
0,0,0,0,1,1,0,0,0,1,0,163.82203321112945
1,0,0,0,0,1,0,0,0,0,0,10.05
1,0,0,0,0,0,0,0,1,0,0,163.82651317661043
0,0,0,0,0,0,1,0,0,0,0,113.07
1,0,0,0,1,0,1,0,0,1,0,163.8226990354666
1,0,1,0,1,1,0,0,0,1,1,163.8251570638991
0,0,0,0,0,0,1,0,1,1,0,116.34
1,1,0,0,1,1,0,0,0,1,1,163.82747941181606
0,0,1,0,1,0,0,1,0,0,0,163.82452186121063
0,1,0,0,0,1,0,0,0,1,0,17.1
1,0,0,0,0,0,0,1,0,0,1,163.82821716442214
0,0,0,1,1,1,0,0,0,0,0,163.82553515701437
0,0,1,0,1,0,0,0,0,1,0,163.82772787365155
1,0,0,0,1,0,0,1,0,0,1,9.35
