auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,1,1,0,1,1,1,1,1,0,1,2.7
1,1,1,1,0,0,0,1,1,0,0,0,4.57
1,0,0,0,0,0,0,0,0,0,0,0,4.13
1,1,1,0,1,0,1,1,1,1,0,1,4.55
1,0,1,0,1,1,1,1,0,0,0,0,2.65
1,1,1,0,1,1,0,0,1,0,1,0,1.79
1,0,1,1,1,1,0,1,1,0,1,0,2.68
1,1,1,1,1,0,1,1,1,1,0,1,4.56
0,1,1,1,0,1,1,1,0,1,1,0,1.77
1,0,0,0,0,0,1,1,1,0,0,0,4.15
1,1,0,1,1,0,0,0,0,0,1,1,4.674327666689022
0,0,1,0,0,1,0,1,1,0,1,0,4.671506765768021
1,1,0,1,0,0,1,1,1,0,0,1,4.672168505572211
0,1,1,1,0,1,0,1,1,0,0,0,4.678105572229682
0,1,1,0,0,1,0,1,1,0,1,0,4.6771525810323675
1,1,1,1,0,0,1,0,0,0,0,0,4.675648256538879
0,1,1,1,0,1,0,1,0,1,0,1,4.677450185648693
0,1,0,0,0,0,1,1,0,1,0,0,4.53
0,0,1,1,0,1,1,1,1,1,1,0,2.67
1,0,1,1,0,1,0,1,0,1,1,1,2.65
0,1,1,0,1,0,0,1,1,1,1,1,4.67290662391782
0,1,0,1,0,1,0,1,0,0,1,1,4.676690203006746
0,1,0,0,0,0,0,1,1,0,1,1,4.674585827364977
0,1,1,0,1,1,1,0,1,1,0,1,4.676125273526068
1,1,0,1,0,1,0,1,1,1,0,0,4.6728507523771095
1,1,1,0,0,1,1,0,1,0,1,1,4.676065357399329
1,0,1,1,1,0,0,0,1,1,0,1,4.676158941246646
1,1,0,1,1,1,0,1,1,0,0,1,4.6717645638633005
1,1,1,0,0,0,0,0,0,1,0,1,4.6717704293577755
0,1,0,1,0,1,1,1,1,1,0,1,4.676618574885225
0,1,0,0,0,0,0,0,0,1,1,0,4.53
0,1,0,0,1,0,0,0,0,0,0,0,4.55
0,1,0,0,1,0,0,0,0,0,1,0,4.675048278874331
0,1,1,0,1,0,0,0,0,0,1,0,4.53
0,1,0,0,1,0,0,0,1,0,1,0,4.6764319289888485
0,1,0,1,1,0,0,1,0,0,1,0,4.67697653692349
0,1,0,0,1,1,0,0,0,0,1,0,4.676977340304688
0,0,0,0,1,0,0,0,0,1,1,0,4.6782586847956535
1,1,0,0,1,0,0,0,0,0,1,0,4.54
0,1,0,0,1,0,0,0,0,0,1,1,4.672256599066826
0,1,0,1,1,0,0,0,0,0,1,0,4.673937405959312
0,1,0,0,0,0,0,0,0,0,1,0,4.53
0,1,0,0,1,0,1,0,0,0,1,1,4.675471598724684
0,0,0,0,1,0,0,0,0,0,1,0,4.13
0,1,0,0,1,0,0,1,0,0,1,0,4.53
0,1,0,0,1,0,1,0,0,0,1,0,4.67852208782114
0,1,0,0,1,0,0,0,0,1,1,0,4.53
1,1,0,0,1,0,0,1,1,0,1,0,4.675432407074189
0,0,0,0,1,0,0,1,0,0,1,0,4.672542922964939
1,1,0,0,1,0,0,0,0,0,0,0,4.675026651679871
0,1,1,0,1,0,1,0,0,0,1,0,4.677344904452886
0,1,1,1,1,0,0,0,0,0,1,0,4.53
0,1,1,0,1,1,0,0,0,0,1,0,4.674257407179552
0,0,0,0,1,0,1,0,0,0,1,0,4.677439748365528
0,1,0,0,1,1,1,0,1,0,0,0,4.678581457017821
0,1,0,0,1,0,0,1,0,1,1,1,4.674654283644868
0,1,0,0,0,0,0,0,1,0,1,0,4.55
0,0,0,0,0,0,0,0,0,0,1,0,4.13
0,1,0,0,0,0,0,0,0,0,1,1,4.53
0,1,0,0,0,1,0,0,0,0,1,0,1.76
0,0,0,1,1,0,0,0,0,0,0,0,4.13
0,1,1,0,1,0,0,0,1,0,1,0,4.58
0,1,0,0,0,1,0,0,0,0,1,1,1.77
0,1,0,1,1,0,0,0,0,0,1,1,4.676520617522311
0,1,0,0,1,0,1,1,0,0,1,0,4.6789914396783585
0,0,0,0,1,0,0,0,0,0,0,0,4.13
1,1,0,1,1,0,0,0,0,0,1,0,4.6710358240319625
1,1,0,0,1,0,0,0,0,1,0,0,4.671817488079943
0,1,1,0,1,0,0,1,0,0,1,0,4.6732718114907055
0,1,0,1,1,1,0,0,0,0,1,0,4.67107901044872
0,0,0,0,1,0,0,0,1,0,1,0,4.15
0,1,0,0,1,1,0,1,0,0,1,0,4.675566517109789
0,1,0,0,1,0,1,0,0,1,1,0,4.677304570136402
0,1,1,0,0,0,0,0,0,0,1,0,4.53
0,1,0,0,1,0,0,1,1,0,1,0,4.57
