iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.59
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,1.63
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,1.7
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.59
0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.64
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,1.72
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,90,1.63
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,1.64
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.59
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,90,1.63
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,10,1.85
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,10,1.68
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,1.58
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,10,1.7
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,1.68
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10,1.82
1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,10,2.4
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,1.87
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,10,3.51
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,10,2.41
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,1.59
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,10,2.07
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,90,2.43
0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,90,2.52
0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,90,2.43
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,10,2.41
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,1.72
0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,90,2.42
1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,10,2.4
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,10,3.51
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,4.951480535711541
0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,90,4.954656866725525
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,90,4.954676508094703
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,90,4.957360276377021
0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,90,1.72
0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,90,4.952455411940001
0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,90,4.953956091174201
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,90,4.95257938108067
0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,10,4.951608884116061
0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,90,1.6
0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,90,4.95548307767015
0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,90,4.954008830616423
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,10,4.956580352372379
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,10,4.9587603612580695
0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,90,4.958041396905849
1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,90,4.956911216734328
1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,10,4.953155629048541
0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,90,4.954607734446714
0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,90,4.954869328177341
1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,10,4.958364067678683
0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,90,4.955560268120499
0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,10,4.955869930912787
0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,90,4.958845219814897
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,10,1.81
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,90,4.952130591663939
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,90,4.957542496756747
