OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,23504.9938743675
1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,22953.1734661012
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,22778.9641607935
0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,19680.1675679967
1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,19466.5684482938
1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,19434.1943838989
0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,18724.0476099624
1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,18558.9734488346
1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,18518.095970297
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,18302.5554089835
1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,17820.0647170989
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,17639.106553954
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17637.7573830627
0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,17109.0216398503
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,16800.7517722465
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,16093.4324209154
1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,15080.07353552716
0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,15080.073504702117
1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,15080.073402765162
1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,15080.073398035993
