auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,1,0,0,0,0,1,0,0,1,0,0,8.29
0,1,1,1,1,0,1,0,0,1,0,0,2.45
1,0,1,1,1,1,1,1,1,1,0,0,4.67
0,1,1,1,1,0,0,0,0,0,0,1,2.45
0,1,0,1,1,0,0,1,0,1,0,0,2.45
0,1,0,0,0,0,1,0,0,0,0,0,2.45
0,0,1,1,0,0,0,0,0,0,0,0,2.27
0,0,1,1,0,0,0,1,0,1,0,0,2.27
0,0,1,1,0,0,0,0,0,0,0,1,2.27
0,1,1,1,1,1,1,1,1,0,0,0,1.16
1,0,0,1,1,0,0,1,1,1,0,0,8.2
0,0,0,1,0,0,0,1,0,1,0,0,2.27
0,0,0,1,1,0,0,1,0,1,0,0,2.27
1,1,0,1,1,0,0,0,0,1,0,0,8.29
0,0,1,1,0,0,0,1,0,1,0,1,2.27
1,0,0,1,0,0,0,1,0,1,0,1,8.01
0,0,0,1,1,0,0,1,1,1,0,0,2.38
1,0,1,1,1,1,0,1,0,1,1,1,4.59
1,1,1,1,1,1,1,0,1,1,1,0,4.71
1,1,0,1,1,1,1,1,1,1,0,0,4.74
1,1,1,1,1,1,0,1,0,1,1,1,4.62
0,0,1,1,1,1,0,1,1,0,0,0,9.197892263725842
0,1,1,0,1,1,1,1,1,1,0,0,9.195394858748674
1,1,0,0,1,0,0,0,1,0,1,0,6.1
0,0,1,1,0,0,0,1,0,1,0,1,2.27
0,0,1,1,1,0,0,1,0,0,1,1,9.19239382553371
0,0,0,1,1,0,0,1,1,1,1,1,9.196424063423642
0,0,1,1,0,1,0,1,0,1,1,1,9.192585572453789
1,1,1,1,0,1,0,1,0,1,0,1,9.19769882017131
0,0,1,1,0,0,0,0,0,0,0,0,2.27
0,0,0,1,1,0,0,1,1,1,1,0,9.192107482910604
0,0,1,1,1,0,1,0,0,1,0,0,9.191894927078806
0,0,1,0,0,1,1,1,1,0,0,0,1.14
0,1,1,1,1,0,0,0,0,0,1,1,9.198552868539535
0,1,1,1,1,0,1,1,0,1,0,1,9.194116305584926
1,0,1,1,0,0,1,1,0,0,0,0,9.192151902026794
0,0,1,1,0,0,0,1,0,0,0,0,9.191385013671438
0,0,0,1,0,1,0,0,0,1,0,1,9.19159840939777
0,0,0,1,0,0,0,0,0,0,0,0,2.27
1,0,1,1,1,0,0,1,0,1,0,0,9.19684552192268
0,0,0,1,0,0,0,1,0,1,0,1,9.198623433759932
0,0,1,1,0,0,0,1,0,1,1,0,9.19133269189608
0,0,0,1,1,0,0,1,0,1,0,1,2.27
0,1,1,1,0,0,0,0,0,0,0,1,2.45
1,1,1,1,1,0,0,1,0,1,0,0,9.192110379943236
1,0,0,1,0,1,1,1,1,0,0,0,9.19127313136822
1,1,1,1,0,0,0,0,1,1,1,0,9.192582890508401
0,1,1,1,1,1,1,0,0,1,0,0,9.191899917133501
1,0,0,1,0,0,0,1,1,0,1,0,6.08
0,0,1,1,1,0,1,1,0,1,0,0,9.194377747793835
0,0,0,0,1,0,1,0,0,0,1,0,9.192309615344326
0,0,1,1,0,0,0,1,0,0,0,1,2.27
1,1,0,0,0,0,0,0,0,1,1,0,9.195009763971099
0,0,0,1,1,1,0,1,0,1,0,0,9.192963567542165
0,0,1,1,0,0,0,0,1,1,0,1,9.194955986391465
0,0,0,1,0,0,0,1,0,0,0,0,2.27
0,1,1,1,0,0,0,1,0,1,0,0,2.45
0,0,0,1,0,1,0,0,0,0,0,0,1.11
1,0,0,1,1,0,0,1,0,1,0,1,9.19802819588089
0,1,1,1,1,1,1,1,1,0,0,1,9.191129757257718
0,0,0,1,1,0,0,1,0,0,0,0,9.19844811306537
0,0,1,0,0,0,0,0,0,0,0,1,2.26
0,0,1,1,0,0,0,0,1,0,0,0,9.196061092838253
0,1,1,0,0,1,1,1,0,0,0,0,9.192517052857747
0,0,1,1,1,0,0,0,0,0,0,1,9.194807832093096
0,0,1,1,0,1,0,0,0,0,0,0,9.198783161283032
1,1,1,0,1,1,1,1,1,0,0,0,9.198559378980534
1,0,1,1,1,0,1,0,0,1,0,0,9.196516655574209
0,0,1,1,0,1,1,1,1,0,0,0,9.198877551630284
0,0,1,0,0,0,0,1,0,1,1,1,9.19140902713159
0,0,1,0,0,0,0,0,0,0,0,0,2.26
0,1,1,1,0,1,1,1,1,0,0,0,1.16
1,1,0,1,1,0,0,1,0,1,0,0,9.195962870518368
0,0,0,0,1,1,1,1,1,0,0,0,1.15
0,0,1,0,0,1,1,1,1,1,0,0,9.194862415522676
0,0,1,1,1,0,0,1,0,0,0,0,2.27
0,0,0,1,0,1,0,0,0,1,0,0,9.196233769786328
0,0,1,1,0,0,0,0,0,1,0,0,2.27
0,0,1,1,1,1,1,0,1,0,0,1,9.193064422998326
0,0,0,0,1,0,1,1,0,1,1,0,9.198570838463134
0,0,1,1,0,0,0,0,0,1,1,1,9.198689727050633
0,0,1,1,0,0,1,1,0,0,0,1,9.197476774744226
0,0,0,1,0,0,0,1,1,1,0,0,9.194535467051981
0,0,1,0,0,1,1,1,1,0,0,1,9.1913713398338
0,0,0,1,1,0,0,1,1,0,0,0,9.193562406898634
0,0,1,0,0,1,1,1,0,1,0,1,9.197277888273293
0,0,1,1,1,0,0,1,0,1,0,1,9.196940649354456
0,1,0,1,0,0,0,0,0,0,0,0,2.45
0,1,1,0,0,1,0,1,0,0,0,1,9.194539980876147
0,0,1,1,0,0,1,1,1,0,0,0,9.196787364563406
