NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,1.82
0,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,2.32
0,0,0,1,1,0,0,0,0,0,0,0,0,8,320,0,2.26
0,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,2.85
1,1,1,0,0,1,0,1,0,1,0,1,0,22,160,0,2.84
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,0,3.06
1,1,1,0,1,1,0,0,0,1,0,1,0,22,320,0,3.47
1,0,1,1,0,1,0,0,1,1,0,1,0,22,8,0,3.37
1,0,1,1,0,1,0,1,0,1,0,1,0,22,160,0,3.67
0,1,1,0,0,1,0,1,0,1,0,1,0,22,160,0,3.86
1,1,1,0,0,1,0,1,0,1,0,1,0,48,320,0,7.08
0,0,1,1,0,0,0,1,0,1,0,1,0,8,8,0,1.82
0,0,1,0,1,0,0,0,0,0,0,0,1,8,8,1,2.36
1,0,1,1,1,1,0,0,0,1,0,1,0,22,320,0,3.8
1,0,0,1,0,1,0,1,0,1,0,1,0,8,8,0,1.31
0,1,0,0,1,1,0,0,0,0,1,1,1,48,160,1,12.557264422735246
0,1,1,1,1,1,0,1,1,1,0,1,0,22,320,0,12.553161508014757
1,0,1,1,0,1,0,1,0,0,1,1,0,22,320,1,12.552211303970152
0,1,1,1,1,0,0,1,0,1,0,0,0,48,8,0,12.554111950806988
0,1,0,0,1,0,0,0,1,1,1,0,1,48,160,0,12.55791601251302
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,1.82
0,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,2.32
0,0,0,1,1,0,0,0,0,0,0,0,0,8,320,0,2.26
0,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,2.85
1,1,1,0,0,1,0,1,0,1,0,1,0,22,160,0,2.84
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,0,3.06
1,1,1,0,1,1,0,0,0,1,0,1,0,22,320,0,3.47
1,0,1,1,0,1,0,0,1,1,0,1,0,22,8,0,3.37
1,0,1,1,0,1,0,1,0,1,0,1,0,22,160,0,3.67
0,1,1,0,0,1,0,1,0,1,0,1,0,22,160,0,3.86
0,1,0,1,1,0,0,0,0,0,0,0,0,8,8,0,12.554967496999256
0,0,1,1,0,0,0,0,1,1,0,1,0,22,8,0,5.27
0,0,0,1,1,1,0,0,0,0,0,0,0,8,8,0,12.55812845759553
1,0,0,0,0,1,0,0,0,0,1,0,1,8,160,2,12.556048048849489
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,1,1.85
0,1,1,0,0,0,0,0,0,0,0,1,0,8,320,0,12.553795169520683
0,0,0,1,1,1,0,1,0,1,0,1,0,8,8,0,12.553691140253104
1,1,0,1,1,1,1,0,0,0,0,0,0,8,320,0,12.557870088683158
1,0,0,1,0,0,0,0,0,0,0,0,0,8,8,2,12.557000389696654
0,0,0,1,0,1,1,0,0,0,0,0,0,48,320,0,12.55206970737399
0,0,1,1,0,0,0,1,1,1,0,1,0,22,8,0,12.557073863152906
1,0,1,1,1,1,0,0,0,0,0,0,0,8,320,0,12.554164397722243
0,0,1,1,0,0,0,0,0,0,0,0,0,8,160,0,12.553419093789875
1,0,0,1,1,1,0,1,0,1,0,1,1,8,8,0,12.551477201113537
1,0,0,0,1,1,0,1,0,1,0,1,0,8,8,0,12.553145321726022
0,0,0,1,1,0,0,0,0,0,0,1,0,44,8,0,7.57
0,0,1,1,0,0,0,0,0,1,0,1,0,8,320,0,12.558263836314525
0,0,1,0,0,1,1,0,1,1,0,1,0,22,8,0,12.557444837158384
