NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,1,0,1,1,0,0,1,0,0,0,22,160,0,7.87
0,0,0,1,0,0,1,0,0,0,0,1,0,22,160,0,11.9
1,0,1,1,0,0,0,0,1,1,0,1,0,22,8,1,9.29
1,0,1,1,0,1,0,1,0,1,0,1,0,22,160,0,7.52
1,0,1,0,0,0,1,0,0,1,0,1,1,22,8,1,11.38
0,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,4.78
0,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,6.17
1,1,1,0,0,0,0,1,0,1,0,1,0,22,8,0,9.17
0,0,0,0,0,0,0,1,0,0,0,0,1,22,8,1,13.36
1,1,1,0,1,1,0,0,0,1,0,1,0,22,320,0,6.85
0,1,1,0,0,1,0,0,0,1,0,0,0,44,8,2,27.45318569324403
0,1,0,0,1,1,0,1,0,0,1,0,0,8,320,1,27.45590789354562
1,1,0,1,1,0,1,1,1,0,0,0,0,8,160,1,27.454196141477347
0,1,1,1,1,1,1,0,0,1,1,1,1,22,160,0,27.45441141300351
0,0,0,1,1,1,1,0,0,1,0,1,1,22,8,2,27.453427529613805
1,0,1,0,1,0,0,0,1,1,0,1,1,8,8,2,27.454214345179246
1,0,1,0,1,0,0,0,0,1,1,1,0,44,8,1,27.45553615635555
1,0,0,0,0,1,0,1,0,0,0,1,0,22,320,1,27.45888750207122
0,1,0,1,0,1,1,1,0,0,0,1,0,44,8,2,27.452709287943975
1,1,0,0,1,0,1,1,0,0,1,0,0,22,320,2,27.454707173175663
1,1,1,0,0,0,0,0,1,1,0,1,0,22,160,2,27.455063236850933
0,1,1,0,0,0,1,1,0,1,1,0,1,48,160,0,27.452819333986053
1,1,0,1,1,1,1,1,0,1,0,1,0,44,160,2,27.4551186500447
0,0,1,0,0,1,0,1,0,0,1,1,1,8,8,1,27.452182244816967
1,1,1,0,0,1,0,1,1,1,0,1,1,44,8,1,27.45117013811899
0,0,1,1,1,0,1,1,1,1,1,0,1,8,160,1,27.451853607958466
1,0,0,1,1,1,0,0,1,0,1,1,1,22,320,0,27.454461249165316
0,0,1,1,1,0,0,0,0,0,1,1,1,44,160,1,27.45656313374839
0,1,0,0,1,0,0,0,0,1,1,1,0,22,320,1,27.451313681537766
1,1,1,0,0,1,0,0,1,0,0,0,0,44,160,2,27.456194696606126
0,1,1,0,0,0,1,0,0,0,0,0,0,8,320,0,27.4571284792226
0,0,0,1,1,1,0,0,1,1,0,0,1,44,8,2,27.45635337537259
0,0,0,1,0,1,0,1,0,1,1,0,0,44,8,2,27.453740753031795
1,0,0,1,0,0,1,0,0,0,0,0,0,8,320,0,4.76
0,0,0,1,0,0,1,1,0,0,1,0,0,8,320,0,27.45840169100181
1,1,1,1,0,0,0,0,1,1,0,1,0,22,8,2,27.451635995821878
1,0,1,1,1,0,0,0,0,0,1,0,0,22,8,0,27.452084912210452
1,1,0,1,0,0,1,1,0,0,1,1,1,22,8,1,27.458954835348464
1,0,1,1,0,1,1,0,0,1,0,0,0,8,320,0,27.45765009065017
0,0,0,0,1,0,0,0,0,0,1,0,0,22,160,1,27.45412221474227
0,1,0,0,1,1,0,1,0,0,0,0,1,22,8,1,27.453713619384626
1,1,1,1,0,1,0,1,0,1,1,0,0,22,160,0,27.45392393984723
0,0,1,0,0,1,0,0,0,1,0,0,0,44,8,0,27.45834218026998
0,0,1,0,0,1,0,1,0,0,0,0,1,22,8,1,27.45721021040015
1,1,1,0,1,1,0,0,0,1,0,0,0,22,320,0,27.45732519330835
1,0,0,0,0,1,0,0,0,1,1,0,1,8,160,0,27.45306568614304
0,0,0,0,1,1,0,0,0,0,0,0,1,8,160,0,6.13
1,0,0,0,0,1,0,0,0,0,1,0,1,8,160,0,27.455204319894346
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,0,9.78
1,1,0,0,1,0,1,0,1,1,1,0,1,8,320,1,27.453212653401856
1,1,1,0,0,0,1,0,0,0,0,0,0,8,320,1,27.45354999200863
1,0,1,0,0,0,0,1,0,1,0,1,0,22,8,0,27.455798617308314
1,0,1,1,1,1,0,0,1,0,0,0,1,8,160,0,27.45222179610659
0,1,1,0,0,0,0,0,0,1,0,1,0,22,8,1,27.454642201181663
0,0,0,1,0,0,1,0,0,0,0,1,0,8,160,2,27.458706878872153
0,0,0,1,0,1,1,0,0,1,0,0,1,8,8,0,27.453893243391555
1,0,1,0,0,0,1,0,0,1,0,0,0,22,160,1,27.458117407164842
0,0,1,1,0,0,1,0,0,0,1,0,0,8,320,0,27.45111834228961
1,0,0,1,0,0,0,1,0,1,0,0,0,22,8,0,7.3
1,0,1,0,0,0,1,0,0,1,1,1,1,22,8,0,27.454708675170256
1,0,1,1,1,0,0,1,0,0,1,0,0,44,8,1,27.456490278148866
0,1,1,1,0,1,0,1,0,1,0,0,0,22,160,0,27.457524899892515
1,0,0,0,1,0,0,0,0,1,1,1,0,22,320,1,27.453742582803837
0,0,1,1,1,0,1,1,0,1,1,1,0,8,160,0,27.454486009870468
1,0,0,1,1,0,1,1,1,1,1,0,1,8,160,1,27.45277526664842
0,0,0,0,0,1,0,0,1,0,0,0,1,44,320,1,27.458312120460242
1,1,1,0,0,1,0,1,0,1,1,0,0,8,160,0,27.455461616519482
0,0,0,0,0,0,1,0,0,0,0,1,0,22,8,0,27.45589568369127
0,0,1,1,0,0,0,1,0,0,0,0,1,8,320,0,27.456540434815402
0,0,0,0,1,1,0,0,0,0,1,0,1,8,160,0,27.45369855774314
1,1,1,0,1,1,0,0,0,0,0,0,1,8,160,0,27.458484769263503
0,0,0,0,1,1,0,0,0,1,0,1,0,22,320,0,27.452149886633666
0,0,0,0,1,0,0,1,0,0,0,0,1,8,160,0,27.45459480861748
0,1,0,1,1,0,1,0,0,0,0,1,0,22,160,0,27.45869495164007
0,0,0,1,0,0,1,0,0,0,0,0,1,8,320,0,27.454177985407036
1,0,0,0,1,1,0,0,0,0,0,1,0,8,160,0,27.4523909549371
1,0,0,1,0,0,0,0,0,1,0,0,0,22,160,0,27.45219933243213
0,0,0,1,0,1,1,0,1,1,0,0,0,22,8,0,27.45751944126978
0,1,0,1,1,1,0,0,1,0,0,0,1,8,160,0,27.457701529652244
1,0,0,1,0,0,0,1,0,1,0,0,1,22,8,1,27.452914301089734
0,0,0,0,0,0,0,1,1,0,1,0,0,22,8,0,27.452311101247293
0,0,0,0,0,0,0,1,0,1,0,1,0,22,8,0,27.458726310691976
1,1,1,0,0,0,0,1,0,0,0,0,1,22,8,1,27.45245668046981
1,0,1,0,1,1,0,1,0,0,0,0,1,8,160,0,27.4528707417348
1,0,1,1,0,1,0,1,0,1,0,0,0,22,8,0,27.45692682838228
0,0,0,1,0,0,0,1,0,1,0,1,0,22,160,0,27.458994673345316
1,1,1,0,0,0,0,0,0,1,0,0,0,8,8,0,27.458146406417125
0,1,1,1,0,0,0,0,0,0,0,0,0,8,320,0,27.457251814446614
0,0,0,1,0,0,1,1,0,0,1,1,0,8,320,0,27.45704270348743
1,0,0,1,0,0,1,0,0,0,0,1,1,8,320,2,27.456070602206026
