NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,1,0,0,0,0,1,0,0,1,0,1,0,8,8,1,0.83
0,0,0,0,1,0,0,0,0,0,0,1,1,22,8,0,1.7
0,0,1,0,1,0,0,0,0,1,0,1,1,44,8,0,2.24
1,0,1,0,1,1,0,0,0,1,0,0,1,44,160,0,3.53
1,0,1,0,0,0,0,1,0,0,0,1,1,44,8,0,3.0
0,0,0,1,0,0,0,0,0,0,1,0,0,8,160,0,0.71
0,1,0,0,0,1,0,1,0,0,0,0,0,22,8,0,1.79
0,0,0,0,0,0,0,1,0,1,0,1,1,8,8,0,1.13
0,1,0,0,0,0,0,0,1,0,0,0,0,22,320,0,2.02
0,0,0,0,0,0,0,0,1,0,0,1,1,48,160,0,3.79
1,0,0,0,1,0,0,0,1,1,1,0,0,22,320,2,4.8118926366954184
0,0,0,0,1,1,1,1,0,0,1,0,1,22,320,0,4.814851824887634
0,0,1,0,1,1,1,0,1,0,1,0,1,44,8,2,4.815366470990846
0,1,0,1,1,0,1,1,0,0,0,1,0,22,8,0,4.811085980350898
1,0,0,1,1,1,0,1,0,0,1,1,0,22,320,2,4.812119241733833
1,1,0,0,0,1,1,1,1,1,0,1,1,48,8,0,4.815700098407425
0,0,0,0,0,1,0,1,1,0,0,1,0,22,160,1,4.814787048790219
0,1,0,1,0,1,0,1,1,1,1,0,1,48,320,0,4.816946911654066
1,0,1,0,0,1,0,1,0,0,0,1,0,44,8,1,4.817303756747616
0,0,1,1,1,1,1,0,1,1,1,1,0,22,160,1,4.818796318762341
1,1,1,0,0,0,0,0,1,1,0,1,0,48,8,0,4.814568601753163
1,1,1,1,1,1,0,0,0,0,0,1,0,22,160,2,4.8175437376009045
1,0,0,0,1,1,1,0,0,1,1,0,0,44,320,2,4.8141216732240935
0,0,1,0,0,1,0,1,1,1,1,1,1,8,160,1,4.812493855169531
0,0,0,0,1,1,1,1,1,0,0,1,1,22,8,2,4.817155412120786
1,0,0,0,0,1,1,0,1,0,1,0,0,22,320,1,4.813759471488402
1,0,0,0,1,0,0,1,0,1,1,1,1,48,160,0,4.812229211323696
1,1,1,1,0,0,0,0,0,0,0,1,1,22,8,2,4.812489013919894
0,0,1,1,0,0,1,1,1,1,1,0,0,8,160,0,4.8186959982054045
1,0,1,0,0,1,1,0,0,1,0,1,0,44,320,1,4.815061644084044
0,0,1,1,1,0,0,0,0,1,0,1,1,22,8,0,4.8157583487494895
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0,0.76
1,0,1,0,0,0,0,1,0,0,0,1,0,8,160,0,4.815925671446975
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,2.38
0,1,0,0,0,0,0,0,1,0,0,0,0,48,320,0,3.03
1,1,0,0,0,1,1,0,0,0,0,1,0,8,8,1,4.816107745137529
0,0,0,1,1,0,1,0,0,1,0,1,1,8,8,1,4.812583423614624
1,1,0,0,0,0,0,0,0,0,1,1,0,8,320,0,4.818475616283717
0,0,0,1,1,0,0,0,1,1,0,1,1,44,8,0,4.8186979314003
0,0,1,0,1,1,0,1,0,0,1,0,0,8,160,0,4.815404768656134
0,0,1,0,1,0,0,0,1,1,0,1,1,44,8,2,4.816301479704257
0,0,1,0,0,0,0,1,0,0,0,1,1,44,8,0,4.8127952496578725
1,1,0,0,0,0,1,1,0,0,0,0,1,44,8,0,4.816928175128406
0,0,0,0,1,0,0,0,0,1,0,1,0,8,8,1,4.815630821300257
1,0,0,0,0,0,0,0,1,0,0,1,1,22,320,0,4.8132179269434126
1,1,0,0,0,0,0,0,1,0,0,0,1,48,160,2,4.812826365980506
0,1,0,1,1,0,1,0,0,1,0,1,0,22,8,0,4.817972236357517
0,0,1,0,1,0,0,0,0,1,1,1,1,22,8,0,4.8172350105046435
1,0,1,1,1,0,0,0,1,0,0,0,0,22,320,0,4.812789165982713
0,1,0,0,0,0,0,0,1,0,1,1,1,22,8,2,4.815199524627051
0,0,0,0,1,0,0,0,0,0,0,1,1,22,320,2,4.817417146599028
0,0,1,1,0,0,0,0,0,0,0,0,0,8,8,0,4.811072706068297
0,1,0,0,0,1,0,1,0,0,0,0,0,22,160,0,2.04
1,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,4.814295200361214
0,0,1,0,0,0,0,0,1,1,1,0,0,22,320,2,4.813939210292099
1,0,0,0,1,0,0,0,0,0,0,1,1,22,8,0,4.813883660968934
0,0,0,1,0,0,0,0,0,0,1,0,0,8,160,2,4.818077491715804
0,0,0,1,0,1,0,0,0,0,1,0,0,8,8,0,4.812303344457555
0,0,0,0,0,1,0,1,1,0,1,0,0,22,8,0,4.8135427891966565
0,1,0,1,0,0,1,0,0,0,1,0,0,22,8,0,4.815425085437839
1,1,0,1,1,1,0,1,0,0,1,0,0,8,8,0,4.816412686479306
0,0,0,1,0,0,1,0,0,0,1,0,0,22,8,0,4.817790795460385
1,0,0,0,0,0,1,0,0,1,0,1,0,22,320,0,4.8154633965755815
0,1,0,0,0,0,0,0,1,0,0,1,0,8,8,1,4.817636316058592
1,1,1,0,0,0,1,0,0,1,0,1,0,22,8,1,1.41
0,1,0,0,0,0,1,1,0,1,0,1,0,8,8,1,4.817809549044217
0,0,0,1,0,0,0,1,0,0,1,1,0,22,320,2,4.81294440815297
1,0,0,1,1,1,0,0,0,0,1,0,1,44,8,1,4.815434215434749
1,1,0,0,0,0,0,0,1,0,0,0,0,22,8,0,4.813198035002279
0,1,0,0,0,1,0,1,0,0,0,0,0,22,320,0,4.814080556358957
1,1,0,1,1,1,0,0,0,0,1,0,0,8,8,0,4.817166027943833
0,0,0,0,0,0,0,1,0,1,0,1,0,8,160,0,4.816408178703414
0,1,0,0,0,1,0,1,0,0,1,1,0,22,320,0,4.815093382776328
1,1,0,1,1,0,0,0,0,1,0,0,0,22,320,0,4.8117564998156785
0,0,0,1,0,0,0,0,0,0,1,0,0,8,320,0,4.811648220962472
0,0,0,1,0,0,0,0,0,0,1,0,0,48,160,0,4.815620102472766
0,1,0,1,0,0,0,0,1,0,0,1,1,22,320,0,4.8164153884123735
