tiff,anyScriptOrigin,validate,jpg,png,onload,pdf,dpi,resolution,quality,indexed,time
0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,1,4.21
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.9,8,4.34
0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.1,1,4.27
0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.9,8,4.35
0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.9,8,4.39
1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,307200.0,0.1,8,4.26
0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,8,4.24
0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.9,1,4.27
0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.9,1,4.2
0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,4,4.33
0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,307200.0,0.1,1,4.37
0.0,1.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.9,4,4.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.9,4,4.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,8,4.29
0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.0,307200.0,0.9,2,4.45
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.9,2,4.28
0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,307200.0,0.1,2,4.36
0.0,0.0,0.0,1.0,0.0,0.0,0.0,200.0,307200.0,0.1,1,4.32
0.0,1.0,0.0,1.0,0.0,1.0,0.0,400.0,307200.0,0.1,2,4.63
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,2,4.21
1.0,1.0,1.0,0.0,1.0,1.0,0.0,400.0,8294400.0,0.1,1,8.864226397604252
1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,2073600.0,0.9,1,8.86711071217026
1.0,1.0,0.0,0.0,0.0,0.0,1.0,200.0,8294400.0,0.9,1,8.867371571290908
1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,8294400.0,0.1,8,8.861122332905605
1.0,0.0,1.0,1.0,1.0,0.0,1.0,400.0,8294400.0,0.9,2,8.861580591973555
1.0,1.0,0.0,0.0,0.0,1.0,1.0,50.0,307200.0,0.9,2,8.86111217693305
1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,8294400.0,0.1,1,6.39
0.0,1.0,1.0,0.0,0.0,0.0,1.0,200.0,8294400.0,0.9,2,8.867874652220733
1.0,1.0,1.0,0.0,1.0,1.0,0.0,400.0,8294400.0,0.1,2,8.864911611134422
1.0,1.0,1.0,0.0,1.0,1.0,1.0,200.0,8294400.0,0.1,8,8.867755546071713
1.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,307200.0,0.9,2,8.865435104580047
0.0,0.0,0.0,1.0,1.0,1.0,0.0,400.0,307200.0,0.9,1,8.862258313271052
0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,307200.0,0.9,2,4.33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2073600.0,0.1,1,8.862479907545845
1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,307200.0,0.1,2,4.34
0.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,307200.0,0.1,1,4.66
0.0,1.0,0.0,1.0,1.0,0.0,0.0,50.0,307200.0,0.1,8,8.865447383129679
0.0,1.0,0.0,1.0,0.0,0.0,1.0,50.0,307200.0,0.1,8,8.867373366177636
0.0,1.0,1.0,1.0,0.0,0.0,0.0,50.0,307200.0,0.1,1,6.03
1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,307200.0,0.1,8,8.861760173228337
0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,8294400.0,0.1,8,5.96
