iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,0.57
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,10,0.59
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,10,0.7
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,90,0.58
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,90,0.58
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0.76
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,10,0.62
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,90,0.64
0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,10,0.77
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,10,0.73
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0.82
1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,90,0.9425633695148395
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,10,0.78
0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,10,0.945758047465257
1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,90,0.9413371793153666
1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,10,0.948403005862445
0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,90,0.9415666728954628
1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,10,0.9480829839006079
0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,90,0.943317682522842
0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,10,0.9430982914925866
