iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,weight,selected
0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,90,1.987305,1
1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,90,2.362967,1
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,90,1.73335,1
1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,90,1.603733,0
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,10,1.377767,0
0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,10,1.779987,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90,1.133333,0
1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,10,1.133333,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,10,1.133333,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,10,1.6074,0
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,90,1.1222,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,90,1.888867,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,2.029633,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,10,2.029633,1
0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,90,1.422267,0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,90,1.933333,1
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,10,1.833317,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,1.8222,1
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,90,1.8222,1
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,90,2.088883,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,90,1.8222,1
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,2.088883,1
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.8222,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,90,1.855567,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,90,1.855567,1
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,1.855567,1
1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.855567,1
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,90,1.855567,1
