auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,0,1,0,0,0,1,0,0.15
1,0,1,0,1,0,0,0,0,0,1,0,0.15
1,0,0,0,1,0,0,1,0,0,1,0,0.15
1,0,1,1,1,0,0,0,0,1,0,1,4.36
0,1,0,1,0,1,0,1,0,1,0,1,6.93
0,1,1,1,1,0,0,0,0,0,1,0,8.52
1,0,0,1,1,1,1,1,0,0,0,0,10.18
1,0,1,1,1,1,1,0,0,1,0,0,10.21
0,0,1,1,0,1,1,1,1,1,0,1,10.37
0,1,0,0,0,0,0,1,1,1,0,1,22.31
1,1,1,1,0,0,1,1,0,1,0,1,23.28
1,0,0,0,1,1,1,1,1,0,0,0,42.48
1,1,1,0,1,1,0,1,1,0,0,1,46.11
1,1,1,1,1,0,0,0,1,1,1,1,110.05
1,1,0,0,0,1,1,1,0,1,1,1,116.92179215947277
1,0,1,0,1,0,0,1,0,1,0,0,116.92193261917573
0,1,1,0,1,1,0,0,0,1,1,1,116.92230470536798
1,1,1,1,0,0,1,0,1,0,1,1,116.92243098693939
0,0,1,1,1,1,1,0,0,1,0,0,116.92273448213007
1,0,0,0,1,0,1,0,0,0,1,0,116.923445093565
