OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,26034.6263445046
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,25787.1940176451
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,25388.5670329143
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,25890.5661987402
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25630.0314831212
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,26066.7316488428
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,26165.284426928
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,24954.2665915151
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,25179.4806805405
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,25852.443957072
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,26683.3391047944
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,25592.4529727358
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,24864.6955927171
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,26513.9493932725
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,25145.9710314356
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,25814.8185381751
1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,17202.9783900043
1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,17038.1629049243
0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,15080.067435659741
1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,15080.070906955018
1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,15080.071778869473
1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,15080.06728622891
0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,15080.06691426127
1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,15080.07074614627
0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,15080.068944936422
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,25179.4806805405
1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,15080.073160124028
1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,15080.073358558506
1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,15080.068493892251
0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,15080.069427925304
0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,15080.068024355383
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,26150.2619205456
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,15080.07163793
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,15080.068591192206
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,22640.357791762
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,26024.1432863884
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,19958.1735391678
0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,15080.070966324694
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,15080.073003046567
0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,15080.069135480548
1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,15080.070470687337
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25185.7692611077
0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,15080.071860738455
0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,15080.066989261717
0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,15080.072981616479
1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,18581.1453924774
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,25323.9207013627
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,15080.069243684353
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,15080.068663886772
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26045.987968455
0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,25425.1822328545
0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,26167.0812237325
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25981.0716281639
0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,15080.07054033738
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,15080.068703658993
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15080.065827587146
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,15080.06700883226
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,15080.067304773818
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,15080.069229895522
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,25925.5293509006
1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,15080.072532595623
0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,15080.072967480497
1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,15080.066411253307
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15080.069846985154
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,15080.07016967222
0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,15080.065891666316
0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,15080.070797188097
1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,15080.066954036623
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,25617.5262021721
0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,22868.5401675802
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,25643.1800313739
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,20834.1430836245
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25787.5592879856
0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,15080.066664920489
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,15080.07347305392
