NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,0,0,0,0,1,0,0,0,0,1,1,44,8,0,3.79
1,1,1,0,0,1,0,0,1,1,0,1,0,8,160,0,1.45
1,1,1,0,1,0,0,0,0,1,0,1,0,8,160,0,1.89
0,0,0,1,0,0,1,0,0,0,0,0,0,8,8,2,1.6
0,0,0,0,0,1,0,0,0,0,1,0,1,48,320,0,11.34
1,0,1,0,0,1,0,1,0,1,0,0,1,22,160,0,7.37
0,0,0,1,0,0,0,0,0,1,1,0,0,22,8,1,5.94
1,0,1,0,0,1,1,0,0,0,0,1,1,22,8,0,3.26
0,0,1,0,0,0,1,1,1,0,0,0,0,8,320,0,30.751758109258834
1,1,1,0,0,0,0,1,0,0,0,1,0,48,8,0,8.7
0,0,0,1,1,0,1,0,1,1,1,1,0,22,320,2,30.752239345144417
1,0,1,0,0,0,0,0,1,1,0,1,1,44,160,0,9.91
0,1,1,1,0,0,1,1,0,0,1,0,0,22,320,1,30.75418510161885
1,0,1,1,0,0,0,1,0,1,0,0,1,8,8,2,30.753635315954806
1,0,1,0,0,0,0,0,1,0,1,0,1,48,320,1,30.75216681283385
0,1,1,0,1,0,0,1,0,0,0,0,1,8,160,2,30.75105458471251
0,1,0,0,0,0,1,1,0,1,1,0,0,48,160,2,30.75157520880744
0,0,0,1,0,0,1,1,1,0,0,0,0,48,8,0,30.755461232284087
1,0,0,0,1,1,0,1,0,1,0,1,1,44,320,0,30.75504282601249
0,0,1,1,0,1,0,1,1,1,0,1,1,8,160,2,30.751464423027354
