auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,1,1,0,0,1,0,1,0,1,5.88
0,1,0,0,0,0,0,0,0,1,1,1,7.09
1,1,1,1,1,0,1,1,0,1,0,1,7.1
1,1,0,1,0,0,0,1,0,1,0,1,7.17
1,1,0,0,0,0,0,1,0,1,1,1,7.17
1,1,0,0,0,0,0,0,0,1,0,0,7.17
1,1,0,0,1,0,0,1,0,1,0,0,7.17
1,1,0,0,1,0,0,1,0,1,0,1,7.18
1,1,0,0,0,0,0,1,0,1,0,1,7.18
0,0,1,0,1,0,1,0,1,1,0,1,9.67
0,0,0,0,0,0,0,1,1,1,1,0,9.72
0,0,1,1,1,1,0,0,1,1,0,0,15.51
0,0,1,1,1,1,0,1,1,1,1,0,15.52
0,0,1,1,1,1,1,0,1,1,0,0,15.52
0,0,1,0,0,1,0,1,1,1,1,0,15.58
1,0,1,1,1,1,1,1,1,0,1,0,15.71
1,0,1,1,1,1,1,1,1,1,1,0,15.72
0,0,1,0,1,1,0,1,1,1,1,0,15.78
0,1,0,0,0,0,0,1,1,1,1,0,59.81
1,1,0,1,1,0,1,1,1,1,1,0,60.51
