iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,2.33
0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,10,4.78
0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,10,6.64
0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,10,4.84
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90,2.66
0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,90,2.47
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,10,7.07
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,10,7.01
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,10,7.06
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,10,3.64
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,90,2.84
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,90,3.21
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,3.74
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,90,3.44
0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,90,3.29
0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,10,4.93
0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,90,3.26
0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,90,3.57
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,10,4.28
0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,90,3.53
1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,90,8.254869401547143
0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,90,8.255484778606112
1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,90,8.25707578143753
0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,10,8.2542269158709
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,90,8.258182672364866
