auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,1,0,0,0,0,1,1,0,1,0,1,8.29
1,1,0,0,0,0,1,1,0,1,0,0,8.3
1,0,0,0,0,0,1,1,0,1,1,0,5.96
1,0,0,0,1,0,1,1,0,0,1,0,5.95
1,0,0,0,0,0,0,0,0,1,1,0,5.95
1,0,1,0,1,0,1,0,0,0,0,0,8.02
1,1,0,0,0,0,0,0,0,0,0,1,8.3
1,1,0,0,0,0,0,1,0,1,0,0,8.3
1,1,0,0,0,0,0,0,0,0,1,1,5.97
1,0,0,0,0,0,1,1,0,0,1,0,5.95
1,1,0,0,0,0,0,0,0,0,1,0,5.98
1,1,1,0,0,0,0,0,0,0,0,0,8.3
1,1,0,1,0,0,0,0,0,0,0,0,8.29
1,1,0,0,1,0,0,0,0,0,1,0,5.97
1,0,0,0,0,0,0,1,0,0,0,0,8.0
0,0,0,0,0,1,1,0,0,1,1,0,1.11
0,0,0,0,0,0,1,1,0,0,1,1,0.22
0,0,0,0,0,1,0,0,0,1,1,0,1.11
1,0,1,0,0,0,0,0,0,0,1,1,5.95
1,0,0,0,0,0,0,0,0,0,1,0,5.95
1,0,0,0,1,1,1,0,0,1,0,1,4.6
1,0,0,0,1,1,1,0,0,1,1,1,4.59
1,0,0,1,0,0,1,1,1,1,0,0,8.18
1,0,0,0,1,0,0,0,1,1,0,1,8.23
0,0,0,0,0,1,0,0,0,1,1,0,1.11
1,0,0,1,0,1,0,0,0,0,0,0,4.59
1,0,0,0,0,1,1,0,1,1,1,0,4.67
1,0,0,0,0,1,1,1,1,1,0,1,4.67
1,0,0,0,1,1,0,0,1,1,1,0,4.68
1,0,0,0,0,1,1,1,1,1,0,0,4.66
0,0,1,0,1,1,1,1,0,1,0,1,9.191152458983307
1,0,0,0,0,1,0,0,0,1,0,1,9.19349842340931
1,0,0,0,0,0,1,1,0,0,1,1,5.95
0,1,0,0,1,1,1,0,0,1,0,1,9.198241708919866
1,0,1,0,1,1,0,0,1,1,1,0,9.194930576635267
1,0,0,0,0,0,1,1,1,1,0,1,9.194665968903138
1,1,0,0,0,1,1,0,0,1,0,1,9.193921173541316
1,0,0,0,1,1,0,0,0,0,0,0,9.19557731637101
0,0,0,0,1,1,1,0,0,1,0,1,9.19732310630513
0,0,0,1,0,1,1,1,1,1,0,1,9.192806810431122
1,0,0,0,0,1,0,0,0,0,0,0,4.59
1,0,0,0,0,1,1,0,0,1,1,1,9.198455002026906
1,0,0,0,0,1,1,0,1,1,1,1,9.198495845930182
1,0,0,0,0,0,0,0,1,1,1,1,6.04
1,0,1,0,1,1,1,0,0,0,1,0,9.191792742064793
1,0,1,0,0,1,1,1,0,0,1,1,9.196507331817344
0,0,0,0,1,1,1,0,0,0,0,1,9.19196606485217
1,0,0,0,0,0,1,1,1,1,0,0,8.17
1,0,0,1,0,1,1,0,0,1,0,1,9.191477835441571
1,0,0,0,1,1,1,0,1,0,0,0,9.198007966914963
0,0,0,0,0,0,1,0,0,0,1,1,0.22
1,0,0,0,0,1,1,0,1,0,0,0,9.192974964617022
1,1,0,0,1,0,1,0,0,1,0,1,9.191003859788205
1,0,0,0,0,1,0,0,0,1,1,1,9.197136672989547
0,0,0,1,0,1,1,1,0,1,1,1,1.11
0,0,0,0,0,0,0,0,0,1,1,0,0.22
0,0,0,0,0,1,0,0,0,1,0,0,1.11
1,0,0,0,1,1,1,0,0,1,0,0,9.193909260858304
1,0,1,0,0,0,0,0,1,1,1,1,9.195908539490219
1,1,1,1,0,1,1,1,1,0,0,1,4.71
0,0,0,0,1,1,1,0,0,1,1,1,9.192961130957796
0,0,0,0,0,1,1,0,1,0,1,0,1.21
1,1,0,0,0,1,1,0,1,1,1,0,9.192459672465647
1,0,0,0,1,1,1,0,1,1,0,0,9.195620353698084
0,0,0,0,0,1,1,0,0,1,0,1,9.19282532501505
1,0,0,0,1,1,0,0,0,1,1,0,9.198875356433135
1,0,0,0,0,1,1,1,0,1,0,1,4.59
0,0,0,0,1,1,0,0,0,1,1,0,9.195996329562599
0,0,0,1,0,1,1,0,1,1,1,0,1.15
1,0,0,0,0,0,1,1,0,1,0,0,9.192945028496561
0,0,0,0,0,0,0,1,0,1,1,0,0.22
0,1,0,0,0,1,1,0,0,0,1,0,9.197780230577628
0,0,0,1,0,1,0,0,0,1,1,0,1.11
0,0,0,0,1,0,1,0,0,1,1,0,9.196406669267263
0,0,0,0,0,1,1,0,0,0,1,1,1.11
0,1,0,1,0,1,1,1,0,1,1,0,1.12
1,0,0,0,1,1,1,0,0,1,1,0,9.195219632719065
0,0,1,0,0,1,1,0,0,1,0,1,9.193533249664862
0,1,1,0,1,1,0,0,0,1,1,0,1.12
0,1,0,0,0,1,1,0,0,1,1,0,9.196802437885827
0,0,0,0,0,1,1,1,0,1,1,0,9.191014828898618
0,0,0,0,0,0,0,0,0,0,1,0,0.22
1,0,1,1,0,1,1,0,0,1,1,1,9.194261158654172
1,1,0,1,1,1,1,1,0,1,1,1,9.194958387948244
0,0,1,0,0,1,0,0,0,1,0,0,1.11
1,0,0,0,0,1,0,0,0,1,1,0,9.195569923538716
0,0,0,1,0,1,1,1,0,1,0,1,9.198005240841688
0,0,0,0,0,1,0,0,0,1,1,1,1.11
0,1,0,0,0,0,0,0,0,1,0,0,2.45
1,0,0,0,0,0,0,0,1,1,1,0,6.03
