OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.6489,1
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1.267729,0
0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0.996814,0
1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0.996814,0
1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0.996814,0
1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0.996814,0
0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0.996814,0
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0.996814,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.996814,0
0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0.996814,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.385406,1
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.117471,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2.193669,1
0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1.6778,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.816957,1
0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1.358736,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1.731757,1
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1.117471,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.095238,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2.095238,1
0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1.171429,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1.171429,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1.63335,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.380986,0
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2.058205,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.380986,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.380986,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1.523843,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.985714,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1.523843,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.720657,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.896814,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.896814,1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.4889,0
1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1.4889,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.4889,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.4889,1
0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1.876157,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.876157,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.876157,1
