OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,895.236505682373
0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,599.739758783905
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,953.69685135395
0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,592.244675374892
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1059.55157338982
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,373.87745861552
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1010.05866577313
0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,602.232674139485
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,530.132044944589
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1015.80737008227
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1029.19536306321
1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,809.769258571896
0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,589.339921324757
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,382.162039544232
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,987.384523010904
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,977.514897592789
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,504.499153458829
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,506.528720654865
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,914.504435459435
0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,987.783212048104
0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,252.28570348802015
1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,252.2845860743934
1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,252.28566176661434
1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,252.28621116452354
1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,252.28650914138194
0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,252.28559655307157
1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,252.285303048437
0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,252.28819138831932
0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,252.28729914314943
0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,252.2819008805945
1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,252.2840780918757
0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,252.28363898884044
1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,252.2872633290592
1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,252.2823386281992
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,252.28776476717675
1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,252.2889442433438
0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,252.28498427015046
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,252.2837177196541
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,252.28219415372283
1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,252.28938175197325
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1039.64371194026
0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,252.28731769571138
1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,252.28212947323254
1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,252.28414856964162
0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,252.28484109472322
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,252.28827437567347
0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,252.2889143689749
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,350.549487292162
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,609.406791087422
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,252.28508876196196
1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,252.2828682259734
1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,252.28206451173625
1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,252.28610572034134
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,987.686836554302
1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,252.28724651776963
1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,252.28632148465846
0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,252.2881663788589
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,252.28604405045627
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,252.28849156294018
1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,252.28731857142836
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,442.664571513117
1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,252.2861036032154
0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,252.28458484444363
0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,252.2875472398314
1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,252.2870934359723
0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,252.28341481256294
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1018.00845695443
1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,252.28930325208435
0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,252.2869465514652
1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,252.2849259076815
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1004.22180518501
1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,544.84191764246
0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,252.28625749997985
0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,252.28582106878164
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,252.28559816334598
0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,252.28370935152404
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,252.28243193935984
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,252.28613252265322
0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,252.28684187615235
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,252.28696317742518
1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,252.28499624794313
0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,252.28902975969186
0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,252.28274534155875
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,496.382548560797
0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,503.27895519227
0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,252.28623383060128
