auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,0,0,1,1,1,0,1,1,0,17.23
1,1,1,1,1,1,0,1,0,1,0,1,14.96
1,1,1,1,0,1,1,1,1,1,1,1,15.24
1,1,1,1,1,1,1,1,1,1,0,0,15.33
0,1,1,1,1,0,0,0,1,1,1,0,14.82
0,0,1,1,0,1,1,1,0,1,0,0,18.89
0,0,0,0,1,0,0,0,1,0,1,0,14.85
1,1,0,0,1,0,0,0,1,0,1,0,8.89
1,0,0,1,0,0,1,1,1,0,0,0,8.9
1,1,1,0,1,0,1,1,0,0,0,0,8.76
0,1,1,0,0,0,0,1,0,1,0,1,14.68
0,0,0,1,1,0,1,1,1,0,0,0,19.30166821812225
0,0,1,1,1,0,1,0,1,0,1,0,19.30769431380978
1,1,0,0,0,1,0,0,0,0,0,1,19.30584808048751
1,0,1,0,0,1,1,0,0,1,1,1,19.301414428470032
1,1,1,1,1,0,0,1,0,1,1,1,8.75
1,0,1,0,0,1,1,1,0,0,1,1,19.301938277356058
1,1,0,1,1,1,0,1,1,0,1,0,19.306109164291836
0,0,1,0,1,1,0,0,0,0,0,1,19.30650563895075
1,1,0,0,1,0,0,0,0,0,0,1,19.306595648663446
0,0,0,1,1,1,0,1,0,0,1,0,18.92
0,0,0,0,0,0,1,0,0,1,1,0,14.68
0,0,0,0,0,0,0,1,0,0,0,0,14.68
0,0,0,0,0,0,1,1,0,0,0,0,14.7
0,0,1,0,0,0,0,0,0,0,0,0,14.69
0,0,0,1,0,1,0,1,0,0,0,0,18.88
0,0,0,1,0,1,0,0,0,0,0,0,18.9
0,0,0,1,0,0,0,0,0,1,0,0,14.7
0,0,0,1,0,0,0,0,0,0,0,0,14.7
0,1,0,0,0,0,0,0,0,0,0,0,14.68
0,0,0,0,0,0,0,1,0,0,0,1,14.69
0,1,1,0,1,0,0,0,0,0,0,1,19.3087188843299
0,1,1,1,1,0,0,0,0,1,1,0,14.69
0,1,1,1,0,0,0,0,1,1,1,0,19.305045598961538
1,1,1,0,0,0,0,1,0,1,0,0,8.75
0,0,0,1,0,0,1,1,0,0,1,0,19.30621368498892
1,0,1,1,1,0,0,1,0,1,0,1,19.302654268851487
0,1,1,0,1,0,0,1,0,1,1,1,19.30591115863429
0,0,0,0,0,1,0,0,1,0,1,0,19.14
1,1,0,0,1,0,0,0,0,0,0,0,19.30515935303211
0,1,0,0,0,0,1,0,0,1,0,1,19.305889523814628
0,1,1,0,0,0,1,0,0,0,1,0,19.30420231644746
0,1,1,1,1,0,0,1,0,1,0,1,19.305340191741994
0,0,1,1,0,0,0,0,0,1,1,0,14.68
0,0,0,0,0,0,1,0,0,0,1,0,14.7
0,1,0,0,1,0,0,0,1,1,1,1,19.301513471032866
0,0,0,1,0,1,1,1,1,1,1,1,19.305141073700092
0,1,1,1,0,0,0,0,0,1,0,0,19.305334240399187
1,1,1,0,0,0,1,1,0,1,1,1,8.75
0,1,1,0,0,0,0,0,0,0,0,0,14.69
1,1,1,0,0,0,0,1,0,1,0,1,8.76
0,0,1,1,0,0,1,1,1,0,0,1,19.304007126770035
1,0,0,1,0,0,1,1,0,1,1,0,19.305335184922498
0,1,1,0,1,0,0,1,0,0,0,0,14.69
0,1,0,0,0,0,0,1,1,0,0,0,14.82
1,1,1,0,1,0,0,1,0,1,0,0,19.307974249608808
0,1,1,1,1,0,0,0,0,1,0,0,19.30575410121355
1,1,0,1,1,0,0,1,1,1,1,1,19.302166171803123
1,1,1,0,0,0,1,0,0,1,0,1,19.301196359054657
1,0,0,0,0,0,1,1,1,0,1,0,8.9
1,1,0,0,1,0,0,0,1,1,1,0,19.303513260421568
0,1,0,0,1,0,0,1,1,0,1,0,14.85
1,1,0,0,0,0,0,1,0,1,1,1,8.76
1,1,0,1,0,0,1,1,1,0,0,0,19.30507445992905
0,1,0,0,1,0,0,0,0,1,0,0,19.304936147212917
1,1,1,0,0,0,0,1,0,0,1,0,19.304186542472195
1,1,0,1,1,0,0,0,0,1,1,0,8.75
0,0,1,0,0,0,0,1,0,0,1,0,14.7
1,1,0,0,1,0,0,0,0,1,1,1,19.305006231905033
1,1,1,1,1,0,0,1,1,0,1,0,8.88
1,1,0,0,1,0,1,0,1,0,1,0,19.307662779202904
1,1,1,0,0,0,1,1,0,1,0,1,19.30494020642476
1,1,1,1,1,0,0,1,0,1,0,1,19.306181600044503
1,1,0,1,1,0,0,1,0,1,0,1,19.30635836268666
1,1,1,0,0,0,0,0,1,1,1,0,19.302398854103178
1,0,0,0,0,1,0,1,0,1,1,1,19.301390904617193
1,1,0,0,0,0,0,1,1,0,1,0,8.9
1,1,0,0,1,0,0,0,1,0,0,0,19.303504139531743
1,1,1,1,1,1,0,1,0,1,1,1,14.95
1,0,0,1,1,0,0,0,0,1,1,1,19.303696758632274
1,1,1,1,0,0,0,1,1,1,1,0,8.89
1,0,1,0,0,0,1,1,1,0,1,0,8.9
1,1,0,0,1,0,1,1,0,1,1,0,19.30340922228003
0,1,1,0,0,0,0,1,0,1,0,0,14.68
1,1,0,1,0,0,0,0,0,1,1,0,8.76
1,1,0,1,1,0,1,0,0,1,1,1,19.301754046180637
1,1,1,0,0,0,0,1,1,0,0,0,19.30604284396736
1,1,1,0,1,0,1,1,0,0,0,1,19.30510133401728
0,1,1,0,0,0,0,0,0,1,1,1,19.306120649725706
0,0,1,1,1,0,1,1,0,0,0,0,19.301162609271074
