iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,90,0.5
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,90,0.52
0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,90,0.59
0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,90,0.65
0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,90,0.65
0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,90,0.66
0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,90,0.66
0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,90,0.67
0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,10,0.68
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,10,0.87
0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,10,0.9440636467865969
1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,90,0.9449386747060001
0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,10,0.9451008670388229
1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,10,0.945282387361886
1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,90,0.9454713369534115
1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,10,0.9456233038987859
1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,90,0.9456337512228961
0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,90,0.9456516308970292
1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,10,0.9457377904206535
0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,10,0.9459392115709014
