NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,0,0,1,0,0,0,1,0,1,0,1,0,8,8,0,0.86
0,0,0,1,0,0,0,1,0,1,0,1,0,8,8,1,0.89
0,0,0,1,0,0,0,1,0,1,0,1,0,8,8,1,0.89
1,0,1,0,0,0,0,0,1,1,0,0,1,8,8,0,1.06
1,1,1,0,0,0,0,1,0,1,0,1,0,22,8,1,1.47
1,0,1,0,0,1,0,0,0,0,1,1,1,8,8,0,1.52
0,0,0,1,0,0,0,1,0,1,0,1,0,22,8,1,1.63
0,0,0,1,0,0,0,1,0,1,0,1,0,22,8,1,1.63
0,0,0,0,0,0,0,1,0,1,0,1,1,8,8,0,1.65
1,0,0,1,0,0,0,0,1,0,0,0,0,44,8,1,1.95
1,0,0,1,0,0,0,0,1,0,0,0,0,44,8,1,1.95
1,0,0,1,0,0,0,0,1,0,0,0,0,44,8,0,1.96
1,0,0,1,0,0,0,0,1,0,0,0,0,44,8,0,1.96
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,1,2.13
0,0,0,0,0,0,1,0,0,0,0,0,1,22,8,2,2.31
0,0,0,1,0,0,0,1,0,1,0,0,0,22,8,0,2.41
0,0,0,1,0,0,0,1,0,1,0,0,0,22,8,0,2.41
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,2.57
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,2.57
0,1,0,0,1,0,0,0,0,0,0,0,0,22,8,1,2.95
