auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
1,0,0,1,1,0,1,0,0,0,0,0,5.88
1,0,0,0,0,0,1,0,0,0,0,0,1.3
1,0,0,0,0,0,0,0,0,0,0,0,1.29
0,0,0,0,1,0,1,0,0,0,0,0,1.32
1,0,1,1,1,0,0,1,1,1,0,0,6.35
0,0,1,1,1,0,0,1,1,1,0,0,6.44
1,0,0,0,1,0,0,1,1,1,0,0,1.88
1,0,1,1,0,1,1,0,0,1,0,0,2.17
0,1,1,0,0,0,0,0,0,0,0,0,1.93
1,1,0,1,0,0,0,1,0,1,0,0,1.96
1,0,1,0,0,1,0,1,1,1,1,0,7.08
1,1,1,1,1,1,1,1,1,1,0,0,28.57
1,0,0,1,1,0,0,0,1,0,1,0,386.9
0,0,0,0,0,0,0,1,0,0,0,0,1.3
1,1,0,0,0,1,0,1,0,1,0,0,16.56
0,1,0,1,0,1,0,1,0,0,1,1,438.05655386132037
1,0,1,1,0,0,0,0,0,1,0,0,5.81
1,1,0,1,0,0,0,1,0,0,0,0,438.0520179208859
0,0,0,1,1,0,1,0,0,1,0,1,438.0569835659673
1,0,1,0,0,0,1,1,0,0,1,0,438.0531330874199
1,0,0,1,1,0,1,0,0,0,0,0,5.88
1,0,0,0,0,0,1,0,0,0,0,0,1.3
1,0,0,0,0,0,0,0,0,0,0,0,1.29
0,0,0,0,1,0,1,0,0,0,0,0,1.32
1,0,1,1,1,0,0,1,1,1,0,0,6.35
0,0,1,1,1,0,0,1,1,1,0,0,6.44
1,0,0,0,1,0,0,1,1,1,0,0,1.88
1,0,1,1,0,1,1,0,0,1,0,0,2.17
0,1,1,0,0,0,0,0,0,0,0,0,1.93
1,1,0,1,0,0,0,1,0,1,0,0,1.96
1,0,0,0,1,0,1,0,0,0,0,1,438.05729260247904
0,0,0,0,0,0,1,0,0,0,0,0,1.29
0,0,0,0,0,0,0,1,1,0,0,0,1.83
1,0,0,0,0,0,0,1,0,0,1,1,305.93
0,0,0,0,0,0,0,0,0,0,0,1,1.29
1,0,0,0,1,0,1,1,0,0,0,0,438.05466709968664
0,0,1,0,0,0,0,1,0,0,0,0,1.29
0,0,0,0,0,0,0,0,0,0,0,0,1.3
0,0,0,0,1,0,0,0,0,0,0,0,1.32
0,0,0,1,0,0,0,1,0,0,0,0,5.78
0,0,1,0,0,0,1,0,0,0,0,0,1.29
1,1,0,0,0,0,0,0,0,0,0,0,1.95
1,1,0,1,0,0,0,1,1,0,0,0,438.0587677676308
0,0,0,0,1,0,0,0,0,0,1,0,305.18
0,0,0,0,0,0,0,1,0,1,0,1,438.0560671677305
1,1,0,1,1,1,1,0,1,0,0,0,438.0518193304389
1,0,1,1,1,1,0,1,0,1,0,0,2.17
1,1,0,0,1,0,0,1,1,1,0,1,438.0579695596365
1,1,0,0,0,0,0,1,0,1,0,0,1.94
1,1,1,1,1,0,1,1,0,0,1,0,438.05274711793845
0,0,1,0,0,0,1,0,0,0,1,0,304.42
1,0,0,0,0,0,1,1,0,0,0,0,438.0515724245921
1,0,0,1,0,0,1,0,0,0,0,1,438.0544081580451
0,0,0,0,0,1,0,0,0,0,0,0,2.42
1,0,0,1,0,0,0,0,0,0,0,0,5.81
0,0,1,0,0,0,1,0,1,0,0,0,438.0516181887251
1,1,0,0,1,0,0,0,1,0,0,0,438.0532775851291
0,0,1,0,0,1,1,0,0,1,0,0,2.39
0,1,1,0,0,0,1,0,0,0,0,0,1.95
1,0,0,0,0,0,1,0,1,0,0,0,438.0586333803935
0,0,0,0,1,0,1,0,0,1,0,0,438.05698945171605
0,0,0,0,0,0,1,0,0,1,0,0,1.29
1,0,0,1,0,0,0,0,1,0,0,1,438.05150086499486
0,0,0,0,0,0,1,0,0,0,0,1,1.29
0,0,0,0,1,1,0,0,0,0,0,0,2.4
0,1,0,0,1,0,0,1,0,1,1,0,438.058547686132
1,0,0,0,1,0,1,0,0,0,0,0,438.0547858383175
1,0,0,0,1,0,0,1,1,1,0,1,438.0548715783634
0,0,0,0,1,0,0,0,0,1,0,0,1.32
0,0,0,0,0,0,0,0,1,0,0,0,1.81
0,0,1,0,0,0,0,1,0,0,0,1,438.05335789950266
1,1,1,0,0,0,1,0,0,0,0,0,438.05375317003467
1,0,0,0,0,0,1,1,0,1,0,1,438.0559124329157
0,0,0,1,0,0,0,0,0,0,0,0,5.83
0,0,0,1,0,0,0,0,1,0,1,0,393.01
0,0,0,0,0,0,0,0,0,1,0,0,1.29
0,0,0,0,0,0,0,0,1,0,0,1,1.92
0,0,1,0,0,0,1,0,0,1,0,0,438.05123012832206
1,0,0,0,1,1,1,0,0,0,0,0,438.05536061150417
1,0,0,1,0,0,1,0,0,0,0,0,438.0515939697008
0,0,0,0,1,0,0,1,0,1,0,1,438.0575994744761
0,1,0,0,0,0,1,0,0,0,0,0,1.94
1,0,0,0,0,0,0,0,0,0,0,1,1.3
0,1,0,0,1,1,1,0,1,0,0,0,438.0519542822141
0,0,0,0,1,0,1,0,1,1,0,0,438.05308887874077
1,0,0,0,1,0,0,0,0,1,0,0,1.32
1,0,0,0,1,0,0,0,0,0,0,0,1.32
0,0,1,1,0,0,1,0,0,0,0,0,438.0530849665928
0,1,0,0,1,0,0,1,0,0,0,0,1.98
0,1,0,0,1,0,0,0,0,0,0,0,1.95
