iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,0.39
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,90,0.41
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,90,0.41
0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,90,0.41
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10,0.42
0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,90,0.43
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,0.43
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,10,0.43
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,10,0.43
0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,90,0.44
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,10,0.44
0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,10,0.45
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,90,0.46
1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,90,0.5513899400444894
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,90,0.5514114319351231
1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,10,0.551611304010672
1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,10,0.5517991686511202
0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,10,0.5521523516985872
1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,10,0.5522821334989633
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,10,0.5522956005194493
