NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
1,0,1,1,0,1,0,0,1,1,0,1,0,8,8,0,0.31
1,1,1,0,0,0,0,1,0,1,0,1,0,8,8,2,0.34
1,0,1,0,0,1,0,0,0,1,1,1,1,8,160,0,0.39
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,0.42
1,1,1,0,0,0,1,0,0,1,0,0,0,22,8,0,0.39
0,0,1,0,0,0,1,0,0,1,0,1,1,8,8,2,0.43
0,0,1,1,0,1,1,0,0,0,0,0,0,22,160,0,0.5
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,2,0.57
1,0,0,1,0,0,1,0,0,1,0,0,0,22,8,0,0.43
0,1,1,0,0,0,0,0,0,0,1,1,0,22,160,0,0.42
0,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,0.51
1,1,1,0,0,0,0,1,0,0,0,1,0,44,8,0,0.7
1,1,1,0,0,0,0,1,0,1,0,1,0,22,320,0,0.47
0,0,1,1,0,0,0,0,1,0,0,0,0,48,320,0,0.91
0,1,1,0,0,0,0,1,0,1,0,1,0,44,8,0,0.7
0,0,0,0,1,0,0,0,0,0,0,0,1,48,320,0,1.11
1,0,1,0,0,0,1,0,0,1,0,1,0,8,8,0,1.2262597020828994
1,0,0,0,0,0,1,0,1,0,0,0,0,48,320,0,1.2247405947207837
1,1,0,0,1,1,1,1,0,0,0,1,0,22,320,0,1.2234308584921771
0,0,1,1,0,1,1,0,0,0,0,1,0,22,8,2,1.227328117921837
1,1,0,1,1,1,1,0,0,0,0,0,0,22,160,2,1.223386397710128
0,1,0,0,1,1,1,1,0,0,0,0,0,22,320,0,1.226223871712958
0,0,1,0,0,1,1,1,1,0,1,1,0,48,320,0,1.2271820630668946
1,1,1,1,1,0,0,0,1,0,1,0,0,48,160,0,1.2237543063184941
0,0,1,0,0,1,1,0,1,1,0,0,1,8,320,2,1.2231526692228658
1,1,0,1,1,1,0,1,1,1,1,1,1,22,160,0,1.2219816706568454
0,0,1,0,1,1,0,1,0,0,1,1,0,22,320,0,1.2261848306486685
0,1,1,1,0,0,0,0,1,1,0,0,1,22,320,0,1.2258132287807961
0,0,1,1,0,0,1,0,1,1,1,0,0,48,8,0,1.2263620430551447
0,1,0,0,1,0,1,1,0,1,0,1,0,48,160,0,1.2222665625687488
0,1,0,0,1,0,1,1,0,1,0,0,0,44,8,0,1.228916907257791
1,1,1,0,0,0,0,0,0,0,0,1,0,48,160,0,1.2219331796135904
0,0,0,1,0,1,0,0,0,0,0,0,0,22,160,1,1.226678195955204
0,0,1,1,1,0,0,1,0,1,0,1,0,22,8,1,1.2280722576323309
1,1,0,0,0,0,1,0,0,1,1,0,0,22,8,0,1.227276137988629
1,1,1,0,0,0,0,1,0,1,0,0,0,8,8,2,1.2231612077164769
1,0,1,0,0,0,0,1,0,1,1,1,0,44,8,0,1.2224701005091736
0,1,1,1,0,1,0,0,1,1,0,1,0,48,8,0,1.228554567009427
1,0,0,0,0,0,0,1,0,1,0,1,0,8,8,0,1.2250621788992404
1,0,1,1,0,0,0,0,1,0,0,1,0,22,320,0,1.227112956176046
1,1,1,0,0,1,0,0,1,1,0,1,0,8,8,0,0.36
1,0,1,1,0,0,0,1,0,1,0,0,0,22,160,0,1.2222953573994624
1,1,0,1,0,1,1,0,0,1,0,0,0,22,320,0,1.2278205252080938
1,0,0,0,0,0,1,1,1,0,1,1,0,22,8,0,1.2274846120222076
