OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,12437.332777818
1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,12147.1853869308
0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,13474.5963204108
0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,13688.8491061182
1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,14766.0223836227
0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,14821.6410203859
0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,15706.4162444907
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,19678.0229514007
0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,13313.0511368484
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,14393.8504287295
1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,9811.387582557265
0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,9811.388665802528
1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,9811.384090919599
0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,9811.386219338734
0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,9811.389805591516
1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,9811.385393560708
0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,9811.391573358489
1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,9811.388322752224
0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,9811.387248386156
