OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,throughput
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,46125.6332749075
0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,47339.5665285929
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46250.2999861249
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,46491.3666294736
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,46212.1665064645
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,47338.5332702153
0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,46696.3166347575
1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,29660.3832433635
1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,25680.0590689439
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29955.7332938916
1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,23312.96792385672
1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,31523.9833333333
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,28373.5666364015
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,23312.971772728342
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,25476.1333244167
0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,30307.3666252466
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,23312.968556492102
1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,25591.6832898275
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,28433.4666221209
1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,23312.970478540294
1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,23312.970998902867
1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,23312.971187294286
1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,23312.97131526933
1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,23312.97341030779
1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,23312.96821781084
0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,23312.970428173394
1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,23312.972249197508
0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,23312.972877060463
0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,23312.97397448549
1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,23312.973508735075
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,23312.97165946487
0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,47366.2831793929
0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,23312.972838910853
1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,23312.972002834977
0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,23312.971802207787
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,23312.975293802054
1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,26140.5499372627
0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,23312.97118022339
1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,23312.9677840716
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,23312.973406890298
1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,23312.968134312367
1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,23312.972667691516
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,23312.970479520518
0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,23312.97475281748
0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,23312.974041439535
1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,23312.971054092042
1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,23312.972436505694
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,23312.971360294458
0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,23312.9722025256
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,44817.7666233428
1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,23312.967805332803
0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,23312.968590112545
0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,23312.975371778743
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,23312.968699497593
0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,23312.971014884864
1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,23312.973750934972
0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,23312.97467234601
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,23312.973580213828
1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,23312.974293518135
0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,23312.971169032273
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,23312.973977279704
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,47108.99997409
1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,23312.96932631964
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,46597.0166596771
0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,23312.971727302556
0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,23312.971809554016
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,23312.96794756577
0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,23312.974557919504
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,23312.968000462894
1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,23312.971338847747
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,46468.5332597582
1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,23312.97043989425
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,23312.97456522414
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,23312.971506469046
1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,23312.97059539451
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,48147.1166088901
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,23312.968527803485
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,23312.9692259474
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,23312.9722807126
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,46579.7498874323
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23312.968342109703
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,47903.0333069867
1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,23312.969617522707
0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,23312.967739836837
1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,23312.97466932511
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,23312.967868136682
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,46316.8499397881
0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,23312.973057597366
0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,23312.972235937832
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,23312.970593960326
