auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,0,0,0,0,0,0,1,0,1.504633,1
0,0,0,0,0,0,1,1,0,1,1,0,2.161125,1
0,1,1,0,0,1,0,1,0,1,0,0,1.26945,0
0,1,0,0,1,1,0,0,0,0,0,0,1.26945,0
0,1,0,0,1,1,0,0,0,1,0,0,1.26945,0
0,1,0,1,0,1,0,0,0,1,1,0,1.26945,0
0,1,0,1,0,1,1,1,0,0,1,0,1.26945,0
0,0,1,0,1,0,1,0,0,0,0,1,2.24278,1
0,1,0,0,0,0,0,0,0,1,0,0,1.555533,1
0,1,0,0,0,0,1,1,0,1,0,0,1.1111,0
1,0,0,1,0,0,0,1,0,1,0,1,1.66945,1
1,0,0,1,0,0,0,0,0,0,0,0,1.7611,1
1,0,0,1,0,0,0,1,0,1,1,0,0.9972,0
1,0,0,1,0,0,1,1,0,0,1,0,0.9972,0
1,0,0,1,0,0,0,0,0,0,0,1,1.5333,1
0,1,0,0,1,1,0,0,0,1,1,0,1.1889,0
0,1,0,1,0,1,0,0,0,0,0,0,1.1889,0
0,1,0,0,0,1,0,1,0,1,0,1,1.1889,0
1,1,0,1,0,1,0,0,0,1,1,0,1.1889,0
0,1,0,0,0,1,0,0,0,0,1,0,1.1889,0
1,0,0,0,0,0,1,1,0,1,1,0,1.99726,1
1,0,1,0,1,0,1,0,0,0,1,0,1.96115,1
1,0,0,0,0,0,0,1,0,1,1,0,1.2917,0
1,0,1,0,0,0,0,0,0,0,1,0,1.2917,0
0,0,0,0,0,0,1,0,0,1,1,0,1.2917,0
0,0,0,0,1,0,0,0,0,0,1,0,1.2917,0
0,0,0,0,0,0,0,1,0,1,1,1,1.96115,1
0,1,0,0,0,0,0,0,0,0,0,1,1.1944,0
0,0,1,1,1,0,0,0,0,0,0,0,1.1944,0
0,0,1,0,1,0,0,0,0,0,0,1,1.1944,0
0,0,1,1,0,0,0,1,0,0,0,1,1.4444,0
0,0,0,1,0,0,0,0,0,0,0,1,1.4444,0
0,0,1,1,0,0,0,1,0,1,0,1,1.4444,0
0,0,1,1,0,0,0,0,0,1,0,0,1.4444,0
1,1,0,0,0,0,0,0,0,0,0,1,1.1944,0
1,0,0,1,0,0,0,0,0,1,0,0,1.3194,0
0,0,0,1,0,0,0,0,0,0,0,0,1.3194,0
1,0,1,1,0,0,0,1,0,1,0,1,1.3194,0
0,0,1,1,0,0,0,0,0,0,0,0,1.3194,0
1,0,1,1,0,1,0,1,0,1,1,0,1.4667,1
1,0,1,1,1,1,0,0,0,0,0,0,1.4667,1
1,0,0,1,0,1,0,1,0,0,1,0,1.4667,1
1,0,0,1,0,1,0,0,0,0,0,0,1.4667,1
1,1,0,1,0,0,0,0,0,1,1,0,1.4667,1
1,0,0,0,0,0,1,1,0,0,1,0,1.4667,1
0,0,0,0,0,0,1,0,0,1,0,0,1.8806,1
0,0,0,0,0,0,1,0,0,0,0,1,1.8806,1
0,0,1,0,0,0,1,1,0,1,1,0,1.8806,1
0,0,0,1,0,0,0,0,0,1,0,0,1.8806,1
