encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,time
0,0,0,1,0,0,0,0,1,0,0,7.43
1,1,0,0,1,0,0,0,0,0,0,3.82
0,0,0,0,1,0,0,0,0,0,0,3.82
1,0,0,0,1,0,0,1,0,0,0,6.65
1,1,0,1,0,0,0,0,0,1,0,7.11
1,1,0,0,1,0,0,0,0,1,0,3.82
0,0,0,0,0,0,1,1,0,0,0,84.93
0,0,0,0,1,0,0,0,1,0,1,3.86
1,0,0,1,0,0,0,1,0,1,0,3.73
1,1,0,1,0,0,0,0,1,1,0,6.88
1,0,1,1,1,1,1,1,1,0,0,87.2062278839965
1,1,0,0,0,1,0,0,1,1,1,87.20149083225382
1,1,0,1,0,1,1,0,0,0,1,87.20364036017314
1,0,1,1,1,1,0,1,0,0,0,87.20381523535131
0,1,1,0,0,1,1,1,1,1,0,87.20202743816782
1,1,1,0,1,0,0,0,0,1,1,87.20617566952481
0,1,1,0,0,1,1,0,0,1,0,87.20198739017754
0,1,1,1,1,1,1,0,1,1,1,87.20718076640097
1,0,0,1,0,1,1,0,1,0,1,87.20513986999197
0,0,0,1,0,0,1,0,1,1,0,87.20789729606058
1,1,0,0,1,0,0,0,0,0,0,3.82
0,1,0,0,1,0,0,1,1,1,0,3.68
0,1,0,0,1,0,0,1,1,1,1,3.87
1,0,0,0,1,0,0,0,1,0,0,3.74
1,1,0,0,1,0,0,0,0,0,1,3.95
0,1,0,0,1,0,0,1,1,0,1,3.82
0,1,0,0,1,0,0,0,0,0,0,3.46
0,0,0,0,1,0,0,0,0,0,0,3.82
0,0,0,0,1,0,0,1,1,0,1,3.89
0,0,1,0,0,0,0,0,0,0,0,7.55
0,1,0,0,1,0,0,1,1,0,0,84.6
0,0,0,0,1,0,0,0,1,1,1,5.02
0,0,1,0,1,0,0,0,0,0,1,87.20270199575872
0,1,0,0,0,0,0,1,0,0,0,87.20515186767481
0,0,0,0,1,0,1,1,1,0,0,87.20227391910367
1,1,0,1,0,0,0,1,1,1,0,6.89
0,0,0,0,1,1,0,0,1,0,0,87.20255757798648
0,1,0,1,1,0,0,1,1,1,0,87.20419193649809
1,1,0,0,0,0,0,1,0,0,0,87.20480983274518
0,1,0,0,1,0,0,0,1,1,0,65.72
1,1,0,0,1,0,0,1,1,0,0,6.8
1,0,0,0,1,0,0,0,0,0,1,7.12
0,0,0,0,0,0,0,0,0,0,0,87.208817644557
1,1,1,0,1,0,0,0,0,0,0,87.20277832181611
0,1,0,0,1,1,0,0,0,0,0,87.2068933123418
0,0,0,0,1,0,0,1,0,0,0,7.53
0,1,0,0,1,0,1,0,0,1,0,87.20742475077657
1,1,0,0,1,0,1,0,0,0,0,87.20762767024166
0,1,0,1,0,0,0,0,1,1,0,7.08
1,1,0,0,1,0,0,1,1,0,1,49.93
0,0,1,0,1,0,0,0,0,0,0,87.2080982385144
0,0,0,0,0,0,0,0,1,0,1,87.20346946808421
0,0,0,0,1,1,0,0,0,0,1,87.20267048834896
1,0,0,0,1,0,0,0,0,0,0,7.06
1,1,0,0,1,0,0,0,1,0,0,69.12
1,1,0,0,1,0,0,1,1,1,1,7.09
1,1,0,1,0,1,1,0,0,0,0,87.20561997971824
0,0,0,0,1,0,0,0,1,1,0,7.03
1,1,0,1,0,0,0,0,1,0,1,87.20443191360489
1,0,0,0,1,0,0,0,1,0,1,3.76
0,1,0,1,0,0,0,1,1,0,0,48.28
1,1,0,0,1,1,0,0,0,1,0,87.20686345875868
1,1,0,0,1,0,0,1,0,0,1,87.20201825206993
0,0,0,0,1,0,1,0,1,0,1,87.20518964115641
1,1,0,0,1,0,0,0,1,1,0,7.85
0,1,0,0,1,0,0,0,1,0,0,7.46
1,1,0,0,1,1,0,1,1,1,0,87.202068531306
0,1,1,0,1,0,0,0,0,0,0,87.20360935736826
1,1,0,0,0,0,0,0,0,1,0,87.2047566766994
0,1,0,0,1,0,1,0,0,0,0,87.20529946900764
0,1,0,0,1,0,1,1,0,0,0,87.2032016221571
1,1,0,0,1,0,0,0,1,0,1,3.92
1,0,0,0,1,0,1,0,0,0,0,87.20456708141732
0,1,0,0,1,1,0,0,1,0,0,87.20384498318167
0,0,0,0,1,0,0,1,1,0,0,7.08
1,0,1,1,1,0,0,0,0,1,0,87.20290931592521
1,1,0,0,1,0,0,1,0,0,0,7.11
0,0,0,0,0,0,0,1,1,0,1,87.2072654384807
1,0,0,0,0,0,0,0,1,1,0,87.20367529732806
0,1,0,0,1,0,0,0,0,1,0,7.53
0,1,0,1,0,0,0,1,1,1,0,3.84
1,1,0,0,1,0,0,0,0,1,1,10.68
1,1,0,0,1,0,0,1,1,1,0,7.13
1,0,0,0,1,0,0,1,1,1,0,8.0
0,1,0,0,1,0,0,0,1,0,1,3.78
0,0,0,0,1,0,1,0,1,0,0,87.20507309238305
1,0,0,0,1,0,0,1,0,0,1,6.38
0,1,0,0,1,0,0,0,0,1,1,44.9
0,0,0,0,1,0,0,0,0,0,1,3.93
0,1,0,0,0,0,0,0,0,0,1,87.2015241031348
