iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,0.43
0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,90,0.43
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0.42
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,90,0.41
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0.41
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,90,0.44
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0.43
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0.43
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10,0.44
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,10,0.45
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,0.43
0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,10,0.44
0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,90,0.49
0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,90,0.48
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,90,0.48
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,90,0.47
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,90,0.5
1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,10,0.45
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,0.46
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0.44
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,10,0.6061029049843759
1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,10,0.6042358137487193
0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,90,0.6070403615903355
1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,10,0.6061383386529496
0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,10,0.6047210067698309
0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,10,0.6080428323369605
1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,10,0.6078522489783298
1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,10,0.6033904147663074
1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,10,0.6079056865210153
0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,10,0.6032377463985199
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,0.44
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0.6065696209913255
0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,90,0.6040584048086699
0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0.46
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,10,0.6036685196140986
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0.45
0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,10,0.602150031377442
1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,90,0.6051534021061968
0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,90,0.6056621616356106
0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,90,0.606459954857524
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,10,0.6054195782007821
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10,0.6065126150318684
0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,10,0.6083413214755021
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,90,0.42
0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,90,0.6063681394182735
0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,10,0.6016368172925473
1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,90,0.6029002570608826
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,10,0.6080353632396036
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0.6030810772955041
