auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,0,0,0,0,1,0,0,1,1,1,301.66
0,0,0,0,0,0,0,0,0,1,1,0,304.18
0,0,0,0,0,0,1,0,0,0,1,0,300.48
0,0,0,0,0,0,1,0,0,1,1,0,300.12
0,0,0,0,0,0,0,1,1,1,1,0,301.56
1,1,1,1,1,0,1,1,0,1,0,1,2.12
0,0,0,0,0,0,0,0,0,1,1,1,302.43
0,0,0,0,0,0,0,0,1,1,1,0,301.43
0,0,0,0,0,0,0,1,0,1,1,0,305.05
0,0,1,1,1,0,1,1,1,1,0,1,6.42
0,0,0,0,0,0,0,1,0,0,1,1,301.84
1,1,1,1,1,1,0,1,1,1,1,0,28.43
0,0,0,0,0,0,1,0,0,0,1,1,302.98
0,0,0,0,0,0,1,0,0,0,1,1,302.98
0,0,1,0,0,0,1,1,0,1,1,0,303.26
0,1,0,1,1,1,0,1,1,1,0,0,29.94
0,0,0,0,0,0,1,1,0,1,1,0,303.89
0,1,0,1,1,1,1,1,1,1,0,1,438.05293909077847
0,1,0,0,1,1,1,0,1,1,1,0,438.05103157591395
1,1,0,1,1,0,1,0,0,1,1,1,438.05103036288216
