OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1.96002,1
1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1.0889,0
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1.0889,0
1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1.0889,0
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1.0889,0
1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1.0889,0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1.0889,0
0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1.548167,1
0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1.0889,0
0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1.0889,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.2,1
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1.7778,1
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2.24445,1
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,2.24445,1
1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2.627775,1
0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1.3778,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.444433,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.444433,1
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0111,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.0111,1
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.0111,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1.8444,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.8444,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.27775,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.1111,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.1111,1
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.1111,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.1111,1
