iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,90,0.4
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,0.41
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,0.39
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,90,0.43
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90,0.4
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,90,0.44
0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,10,0.42
0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,10,0.44
0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,90,0.45
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,90,0.43
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,0.45
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,0.45
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,10,0.43
0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,10,0.48
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,90,0.45
1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,10,0.5544474917079811
0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,90,0.5522433709878765
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,90,0.5554453733735557
1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,90,0.5519785839230346
1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,90,0.5561171857093863
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,90,0.4
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,90,0.41
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,0.39
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,90,0.43
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,90,0.4
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,90,0.44
0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,10,0.42
0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,10,0.44
0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,90,0.45
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,90,0.43
0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,10,0.5589036174863127
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90,0.5561735655108135
1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,90,0.5536907370284617
0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,90,0.5563687507663344
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,10,0.5513593825030478
0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,10,0.5570593628926289
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,90,0.41
0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.5548638626687086
1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,90,0.5558219992173391
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,10,0.5530691047370799
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10,0.41
0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,10,0.5581830310603146
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,90,0.4
