auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,time
0,0,1,0,0,0,0,0,0,0,0,0,5.87
0,0,1,0,0,0,0,0,0,0,1,0,5.89
0,0,0,0,1,0,0,1,0,0,0,0,5.91
0,1,1,0,0,0,0,0,0,0,0,0,7.08
1,1,1,1,1,0,1,0,0,0,1,0,7.12
1,1,1,1,1,0,1,0,0,0,1,1,7.13
1,0,0,0,0,0,1,0,1,0,1,1,9.65
0,0,0,1,0,0,0,0,1,0,1,0,9.65
1,0,0,1,1,0,0,0,1,0,1,1,9.72
0,0,0,0,1,0,0,0,1,0,0,0,9.79
0,0,1,0,0,1,1,0,1,0,0,1,15.52
0,1,0,0,1,0,0,1,1,0,1,0,59.56
0,1,0,1,0,0,0,0,1,0,1,0,60.33
0,1,0,1,1,1,1,1,1,1,1,0,322.09
0,1,0,0,1,1,1,0,1,0,1,1,324.01
1,1,1,1,1,1,1,0,1,1,0,1,324.16
1,1,0,0,0,1,1,0,1,0,1,1,324.31
1,1,1,1,0,1,0,1,1,1,1,0,324.76
1,1,1,1,0,1,1,1,0,1,1,0,494.51
0,1,0,1,1,1,1,0,0,0,1,0,496.84
